country,iso_alpha,continent,deployment,year,confidence,source,remark,
Finland,FIN,Europe,97.3,2020,high,https://cdn.eurelectric.org/media/5089/dso-facts-and-figures-11122020-compressed-2020-030-0721-01-e-h-6BF237D8.pdf,None,
Sweden,SWE,Europe,100,2020,high,https://cdn.eurelectric.org/media/5089/dso-facts-and-figures-11122020-compressed-2020-030-0721-01-e-h-6BF237D8.pdf,None,
Norway,NOR,Europe,98,2020,high,https://cdn.eurelectric.org/media/5089/dso-facts-and-figures-11122020-compressed-2020-030-0721-01-e-h-6BF237D8.pdf,None,
Denmark,DNK,Europe,82.2,2020,high,https://cdn.eurelectric.org/media/5089/dso-facts-and-figures-11122020-compressed-2020-030-0721-01-e-h-6BF237D8.pdf,None,
Estonia,EST,Europe,98.9,2020,high,https://cdn.eurelectric.org/media/5089/dso-facts-and-figures-11122020-compressed-2020-030-0721-01-e-h-6BF237D8.pdf,None,
Latvia,LVA,Europe,73,2020,high,https://cdn.eurelectric.org/media/5089/dso-facts-and-figures-11122020-compressed-2020-030-0721-01-e-h-6BF237D8.pdf,None,
Lithuania,LTU,Europe,2.8,2020,high,https://cdn.eurelectric.org/media/5089/dso-facts-and-figures-11122020-compressed-2020-030-0721-01-e-h-6BF237D8.pdf,None,
Poland,POL,Europe,8.3,2020,high,https://cdn.eurelectric.org/media/5089/dso-facts-and-figures-11122020-compressed-2020-030-0721-01-e-h-6BF237D8.pdf,None,
Slovakia,SVK,Europe,5.1,2020,high,https://cdn.eurelectric.org/media/5089/dso-facts-and-figures-11122020-compressed-2020-030-0721-01-e-h-6BF237D8.pdf,None,
Hungary,HUN,Europe,1.3,2020,high,https://cdn.eurelectric.org/media/5089/dso-facts-and-figures-11122020-compressed-2020-030-0721-01-e-h-6BF237D8.pdf,None,
Romania,ROU,Europe,11.6,2020,high,https://cdn.eurelectric.org/media/5089/dso-facts-and-figures-11122020-compressed-2020-030-0721-01-e-h-6BF237D8.pdf,None,
Bulgaria,BGR,Europe,30.2,2020,high,https://cdn.eurelectric.org/media/5089/dso-facts-and-figures-11122020-compressed-2020-030-0721-01-e-h-6BF237D8.pdf,None,
