air_density,cloud_cover,local_time,precipitation,radiation_surface,radiation_toa,snow_mass,snowfall,temperature,wind_speed
1.149,0.833,2014-01-01 01:00:00,0.0,0.0,0.0,24.844,0.0,-4.885,3.556
1.149,0.833,2014-01-01 01:15:00,0.0,0.0,0.0,24.844,0.0,-4.885,3.556
1.149,0.833,2014-01-01 01:30:00,0.0,0.0,0.0,24.844,0.0,-4.885,3.556
1.149,0.833,2014-01-01 01:45:00,0.0,0.0,0.0,24.844,0.0,-4.885,3.556
1.148,0.925,2014-01-01 02:00:00,0.007,0.0,0.0,24.846,0.0,-4.557,3.541
1.148,0.925,2014-01-01 02:15:00,0.007,0.0,0.0,24.846,0.0,-4.557,3.541
1.148,0.925,2014-01-01 02:30:00,0.007,0.0,0.0,24.846,0.0,-4.557,3.541
1.148,0.925,2014-01-01 02:45:00,0.007,0.0,0.0,24.846,0.0,-4.557,3.541
1.148,0.9500000000000001,2014-01-01 03:00:00,0.043000000000000003,0.0,0.0,24.86,0.009000000000000001,-3.928,3.536
1.148,0.9500000000000001,2014-01-01 03:15:00,0.043000000000000003,0.0,0.0,24.86,0.009000000000000001,-3.928,3.536
1.148,0.9500000000000001,2014-01-01 03:30:00,0.043000000000000003,0.0,0.0,24.86,0.009000000000000001,-3.928,3.536
1.148,0.9500000000000001,2014-01-01 03:45:00,0.043000000000000003,0.0,0.0,24.86,0.009000000000000001,-3.928,3.536
1.148,0.753,2014-01-01 04:00:00,0.097,0.0,0.0,24.9,0.007,-3.02,3.415
1.148,0.753,2014-01-01 04:15:00,0.097,0.0,0.0,24.9,0.007,-3.02,3.415
1.148,0.753,2014-01-01 04:30:00,0.097,0.0,0.0,24.9,0.007,-3.02,3.415
1.148,0.753,2014-01-01 04:45:00,0.097,0.0,0.0,24.9,0.007,-3.02,3.415
1.147,0.56,2014-01-01 05:00:00,0.114,0.0,0.0,24.953,0.016,-2.289,3.276
1.147,0.56,2014-01-01 05:15:00,0.114,0.0,0.0,24.953,0.016,-2.289,3.276
1.147,0.56,2014-01-01 05:30:00,0.114,0.0,0.0,24.953,0.016,-2.289,3.276
1.147,0.56,2014-01-01 05:45:00,0.114,0.0,0.0,24.953,0.016,-2.289,3.276
1.146,0.448,2014-01-01 06:00:00,0.083,0.0,0.0,25.006,0.029,-1.838,3.125
1.146,0.448,2014-01-01 06:15:00,0.083,0.0,0.0,25.006,0.029,-1.838,3.125
1.146,0.448,2014-01-01 06:30:00,0.083,0.0,0.0,25.006,0.029,-1.838,3.125
