,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
test_loss,0.31083843,0.31083843,0.32192707,0.32192707,0.42728263,0.42728263,0.80822796,0.80822796,0.3424785,0.3424785,0.35079688,0.35079688,0.41782185,0.41782185,0.49298093,0.49298093,0.19325563,0.19325563,0.20280395,0.20280395,0.16855991,0.16855991,0.19425838,0.19425838,0.28673947,0.28673947,0.36058146,0.36058146,0.5137996,0.5137996,0.3722167,0.3722167
0,3.8113132,0.87717927,6.814647,0.80730337,7.6897817,0.82007474,9.401159,1.0166357,2.1631286,0.7579978,2.195325,0.8366158,2.4528422,1.0206696,1.8443451,1.0255867,3.8162596,1.5223509,4.1468353,0.9915835,3.9921916,0.7877683,3.8508162,0.8884155,4.111473,0.8726938,6.4356017,1.059393,4.7579083,0.91922426,5.1806893,0.858831
1,2.3843515,0.6822352,4.8877077,0.6441391,5.146231,0.73107785,8.117617,0.9084496,1.9698042,1.003339,1.6717967,0.7902244,1.6545676,0.64081484,1.4735773,0.8323458,2.9310749,0.71459764,3.757496,0.9230135,3.006284,0.76840365,3.1578736,0.7164139,2.2867327,0.7159852,5.79147,1.0742483,2.9982917,0.9796616,3.1859145,0.80364555
2,1.9926884,0.70157486,4.2445774,0.6240989,4.706617,0.6937735,6.4447756,0.83338624,1.3224733,0.6523083,1.449489,1.0343083,1.3648441,0.6215639,1.2962849,0.7977282,2.4651394,0.7027334,3.446123,0.86484987,2.5855234,0.7875486,2.853994,0.65303534,2.1934602,0.7674164,5.209815,0.84288424,2.736532,0.7859524,2.6296606,0.6965534
3,1.7617387,0.6026131,4.1206865,0.6200489,4.0904155,0.7132884,6.117397,0.7901451,1.2358414,0.62622464,1.4249268,0.6851596,1.075823,0.6802109,1.2757208,0.80708426,2.2800546,0.7040644,3.157607,0.81555885,2.5373464,0.6257491,2.5400403,0.6966189,1.8282205,0.76599133,4.580919,0.970097,2.370958,0.8046869,2.5420632,0.6990418
4,1.5248692,0.6052581,3.7761633,0.56779253,4.026004,0.7998937,5.009048,0.6577992,1.00554,0.6683078,1.1836412,0.70406955,0.96743596,0.6996867,1.0568378,0.83155394,2.0863242,0.5912538,2.881852,0.7573931,2.1109297,0.65622634,2.1556106,0.61819524,1.7829362,0.8391035,4.196049,1.0024599,2.303617,0.75051737,2.2454197,0.6770814
5,1.3988762,0.64890283,3.6494346,0.6953678,3.7714598,0.672577,3.574075,0.6984311,0.9876793,0.635335,1.028379,0.728742,0.9008805,0.65286416,1.0132577,0.8845447,2.0129275,0.5965147,2.6923704,0.7174982,2.106122,0.60214937,1.9536129,0.6142205,1.6265298,0.64127433,4.0188603,0.7813721,2.1569495,0.7295817,2.083536,0.7240261
6,1.2389842,0.629273,4.599881,0.68077844,3.307242,0.7121823,3.1767654,0.5851093,0.9180273,0.64168835,1.0679907,0.6861288,0.82660586,0.657627,0.91472226,0.79768676,1.7656146,0.58470094,2.5706522,0.71585166,1.8262063,0.6189698,1.7002211,0.66703606,1.6160165,0.7633364,3.9226353,0.80967706,2.094097,0.6369441,1.9575858,0.6954506
7,1.1286557,0.6112266,3.9888656,0.5555199,3.2413857,0.8055684,2.8631873,0.59320337,0.76550144,0.63636434,0.93646914,0.6734475,0.7596773,0.630422,0.8476516,0.7207721,1.7247216,0.60530096,2.6541243,0.71140236,1.7149636,0.59263194,1.623644,0.60929674,1.5400027,0.6084209,3.8942482,0.8377256,1.9271646,0.6486333,1.7584071,0.68311024
8,1.0558717,0.59964496,2.648126,0.5262699,2.82159,0.68558925,2.7300887,0.5548474,0.7266879,0.73537403,0.8649642,0.6452287,0.8683086,0.625595,0.76059103,0.7864708,1.7043703,0.567727,2.2932043,0.9044681,1.5746864,0.62308073,1.5249391,0.6559846,1.3793914,0.6381857,3.8213758,0.75718874,1.7595327,0.6782068,1.8127611,0.768459
9,1.0152884,0.61673325,2.2794828,0.51978445,2.7471704,0.66237354,2.3148415,0.6354017,0.68570983,0.6687526,0.7586028,0.66870093,0.6900181,0.6553584,0.7007455,0.7204914,1.5366504,0.5910388,2.0090578,0.6568073,1.6853945,0.5941824,1.3974918,0.6054456,1.3213809,0.5795364,3.7410414,0.7891718,1.7259804,0.629288,1.6083231,0.6861656
10,0.92664486,0.61711276,2.0469177,0.52126,2.532972,0.74639,2.236388,0.5976588,0.6321632,0.6188282,0.72961706,0.67740756,0.66322505,0.6907988,0.5502673,0.7774955,1.2556226,0.6452803,1.6852673,0.6111091,1.3525232,0.7343814,1.3205875,0.6264033,1.2241305,0.63211215,3.7418482,0.65413004,1.5866983,0.677995,1.4911696,0.7923013
11,0.9192483,0.67013764,1.91953,0.5174874,2.4258764,0.6926236,2.0477598,0.6123131,0.6114311,0.6748375,0.6880972,0.6871836,0.639285,0.5938806,0.61196846,0.7705741,1.1872458,0.5702174,1.5012628,0.58543485,1.2926694,0.6136378,1.2567139,0.6525357,1.2671024,0.65115684,3.2858288,0.84447724,1.53011,0.62908465,1.5026939,0.652855
12,0.80243134,0.6394875,1.7115749,0.49436384,2.2528253,0.6686051,2.0574877,0.5944911,0.56458527,0.64969546,0.6727552,0.7958232,0.66400665,0.6535917,0.5563849,0.77575725,1.1896651,0.61026454,1.2495447,0.6447189,1.0705583,0.66335815,1.1792853,0.6236405,1.1844401,0.69045734,3.151445,0.6356772,1.4801972,0.7133552,1.3911833,0.69331264
13,0.8119127,0.62341326,1.6087011,0.4882614,2.1959584,0.6486642,1.8040794,0.58179575,0.6275325,0.862785,0.5978004,0.82254976,0.5873986,0.66794086,0.47944823,0.7653745,1.0327867,0.58662885,1.1037217,0.5987126,1.1353089,0.6082312,1.1348237,0.5861396,1.1639764,0.60028416,2.3985388,0.65085614,1.4007763,0.6837889,1.3676963,0.6193629
14,0.7205259,0.68019134,1.6649535,0.49939868,1.9392027,0.71115726,1.6770798,0.55903083,0.5602647,0.64050394,0.568295,0.6706308,0.5183053,0.62583274,0.49945492,0.76747954,1.0146636,0.62423366,1.1262165,0.59048265,1.020009,0.58912015,1.0259856,0.73858994,1.0205221,0.67227346,2.1899774,0.7526839,1.3350332,0.62146443,1.2870119,0.62822634
