,temporal None PL data,temporal None PL sensors,temporal None PL streamtimes,temporal None PL accuracy,temporal X_st rnd d_c data,temporal X_st rnd d_c sensors,temporal X_st rnd d_c streamtimes,temporal X_st rnd d_c accuracy,temporal X_st min d_c data,temporal X_st min d_c sensors,temporal X_st min d_c streamtimes,temporal X_st min d_c accuracy,temporal X_st max d_c data,temporal X_st max d_c sensors,temporal X_st max d_c streamtimes,temporal X_st max d_c accuracy,temporal X_st avg d_c data,temporal X_st avg d_c sensors,temporal X_st avg d_c streamtimes,temporal X_st avg d_c accuracy,"temporal X_(t,s) rnd d_c data","temporal X_(t,s) rnd d_c sensors","temporal X_(t,s) rnd d_c streamtimes","temporal X_(t,s) rnd d_c accuracy","temporal X_(t,s) min d_c data","temporal X_(t,s) min d_c sensors","temporal X_(t,s) min d_c streamtimes","temporal X_(t,s) min d_c accuracy","temporal X_(t,s) max d_c data","temporal X_(t,s) max d_c sensors","temporal X_(t,s) max d_c streamtimes","temporal X_(t,s) max d_c accuracy","temporal X_(t,s) avg d_c data","temporal X_(t,s) avg d_c sensors","temporal X_(t,s) avg d_c streamtimes","temporal X_(t,s) avg d_c accuracy","temporal Y_hat_(t,s) rnd d_c data","temporal Y_hat_(t,s) rnd d_c sensors","temporal Y_hat_(t,s) rnd d_c streamtimes","temporal Y_hat_(t,s) rnd d_c accuracy","temporal Y_hat_(t,s) min d_c data","temporal Y_hat_(t,s) min d_c sensors","temporal Y_hat_(t,s) min d_c streamtimes","temporal Y_hat_(t,s) min d_c accuracy","temporal Y_hat_(t,s) max d_c data","temporal Y_hat_(t,s) max d_c sensors","temporal Y_hat_(t,s) max d_c streamtimes","temporal Y_hat_(t,s) max d_c accuracy","temporal Y_hat_(t,s) avg d_c data","temporal Y_hat_(t,s) avg d_c sensors","temporal Y_hat_(t,s) avg d_c streamtimes","temporal Y_hat_(t,s) avg d_c accuracy","temporal Y_(t,s) rnd d_c data","temporal Y_(t,s) rnd d_c sensors","temporal Y_(t,s) rnd d_c streamtimes","temporal Y_(t,s) rnd d_c accuracy","temporal Y_(t,s) min d_c data","temporal Y_(t,s) min d_c sensors","temporal Y_(t,s) min d_c streamtimes","temporal Y_(t,s) min d_c accuracy","temporal Y_(t,s) max d_c data","temporal Y_(t,s) max d_c sensors","temporal Y_(t,s) max d_c streamtimes","temporal Y_(t,s) max d_c accuracy","temporal Y_(t,s) avg d_c data","temporal Y_(t,s) avg d_c sensors","temporal Y_(t,s) avg d_c streamtimes","temporal Y_(t,s) avg d_c accuracy"
0,10,0,75,22,10,0,78,42,10,0,80,34,10,0,73,24,10,0,73,14,10,0,67,38,10,0,58,43,10,0,47,40,10,0,52,42,10,0,56,42,10,0,55,38,10,0,43,45,10,0,45,43,10,0,72,52,10,0,72,41,10,0,73,34,10,0,74,40
1,19,0,93,39,18,0,100,47,15,0,100,37,14,0,98,5,14,0,99,0,19,0,91,48,20,0,81,52,19,0,61,48,19,0,76,51,19,0,89,60,19,0,89,57,18,0,80,60,18,0,83,61,16,0,87,52,15,0,83,56,14,0,84,42,14,0,85,36
2,28,0,99,39,26,0,100,49,17,0,100,37,15,0,100,0,15,0,99,0,28,0,97,53,28,0,90,53,25,0,68,52,26,0,87,52,26,0,96,65,26,0,96,64,24,0,92,66,25,0,93,66,21,0,92,58,17,0,87,53,16,0,87,41,17,0,88,43
3,37,0,100,46,33,0,100,50,19,0,100,34,16,0,100,0,15,0,100,0,36,0,99,57,35,0,93,53,30,0,75,57,33,0,93,56,31,0,98,69,32,0,99,68,28,0,96,65,29,0,97,67,25,0,94,62,20,0,90,56,18,0,89,33,19,0,90,52
4,45,0,100,50,39,0,100,51,20,0,100,36,16,0,100,0,15,0,100,0,44,0,100,60,42,0,95,59,34,0,79,57,38,0,95,58,36,0,100,68,36,0,100,68,31,0,98,70,32,0,98,67,28,0,97,64,21,0,91,60,20,0,90,35,21,0,92,47
5,52,0,100,50,45,0,100,53,21,0,100,35,16,0,100,0,16,0,100,0,51,0,100,61,49,0,97,57,38,0,83,59,43,0,97,57,39,0,100,71,40,0,100,69,34,0,99,71,35,0,99,69,31,0,98,66,23,0,92,62,21,0,91,36,23,0,93,50
6,60,0,100,56,52,0,100,53,21,0,100,36,16,0,100,0,16,0,100,0,58,0,100,62,55,0,99,55,41,0,84,61,47,0,99,61,43,0,100,73,44,0,100,68,36,0,99,68,38,0,100,72,34,0,99,65,24,0,93,62,22,0,92,21,24,0,94,52
7,66,0,100,56,57,0,100,55,21,0,100,34,17,0,100,0,16,0,100,0,65,0,100,64,60,0,99,61,44,0,86,61,51,0,99,56,45,0,100,74,47,0,100,71,37,0,100,72,40,0,100,72,37,0,99,67,25,0,94,62,23,0,92,35,25,0,94,47
8,73,0,100,56,63,0,100,56,22,0,100,30,17,0,100,0,16,0,100,0,71,0,100,64,65,0,100,60,46,0,87,56,55,0,99,63,48,0,100,74,50,0,100,72,38,0,100,72,42,0,100,73,39,0,99,68,26,0,95,65,23,0,93,24,26,0,95,45
9,79,0,100,60,68,0,100,58,22,0,100,31,17,0,100,0,16,0,100,0,77,0,100,64,70,0,100,61,49,0,89,64,58,0,99,61,50,0,100,73,52,0,100,73,39,0,100,73,43,0,100,74,42,0,100,71,27,0,95,64,24,0,94,23,27,0,96,51
