,temporal None PL train,temporal None PL val,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
n_iterations,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
t_iterations,438.0,438.0,3375.0,3375.0,3177.0,3177.0,3219.0,3219.0,3279.0,3279.0,4592.0,4592.0,4339.0,4339.0,4533.0,4533.0,4449.0,4449.0,5333.0,5333.0,5532.0,5532.0,5379.0,5379.0,5672.0,5672.0,5132.0,5132.0,4333.0,4333.0,4124.0,4124.0,3884.0,3884.0
budget_usage,0.7949220765816906,0.7949220765816906,0.6821137372277841,0.6821137372277841,0.21901124987098772,0.21901124987098772,0.16771596656001653,0.16771596656001653,0.1582206626070802,0.1582206626070802,0.7671586335019094,0.7671586335019094,0.699865827226752,0.699865827226752,0.48518939002993083,0.48518939002993083,0.5804520590360203,0.5804520590360203,0.5014965424708432,0.5014965424708432,0.5195582619465373,0.5195582619465373,0.39209412736092475,0.39209412736092475,0.42997213334709466,0.42997213334709466,0.4170709051501703,0.4170709051501703,0.2706161626586851,0.2706161626586851,0.24202704097430075,0.24202704097430075,0.2708225823098359,0.2708225823098359
sensor_usage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
streamtime_usage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986072423398329,0.9986072423398329,0.8857938718662952,0.8857938718662952,0.9916434540389972,0.9916434540389972,0.9986072423398329,0.9986072423398329,0.9986072423398329,0.9986072423398329,1.0,1.0,1.0,1.0,0.9958217270194986,0.9958217270194986,0.9484679665738162,0.9484679665738162,0.9387186629526463,0.9387186629526463,0.9568245125348189,0.9568245125348189
RF_loss,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469,0.921603262424469
test_loss,0.40727871656417847,0.40727871656417847,0.396151065826416,0.396151065826416,0.644819974899292,0.644819974899292,2.1465494632720947,2.1465494632720947,2.0163588523864746,2.0163588523864746,0.26816725730895996,0.26816725730895996,0.3357941806316376,0.3357941806316376,0.3180861175060272,0.3180861175060272,0.316977322101593,0.316977322101593,0.1802162081003189,0.1802162081003189,0.1810329705476761,0.1810329705476761,0.20317329466342926,0.20317329466342926,0.17707915604114532,0.17707915604114532,0.20777970552444458,0.20777970552444458,0.31564536690711975,0.31564536690711975,0.7316159605979919,0.7316159605979919,0.4336632788181305,0.4336632788181305
0,1.607761263847351,1.9338828325271606,-0.525452196598053,-0.525452196598053,-0.276783287525177,-0.276783287525177,1.2249462604522705,1.2249462604522705,1.0947556495666504,1.0947556495666504,-0.653436005115509,-0.653436005115509,-0.5858091115951538,-0.5858091115951538,-0.6035171747207642,-0.6035171747207642,-0.604625940322876,-0.604625940322876,-0.7413870692253113,-0.7413870692253113,-0.7405703067779541,-0.7405703067779541,-0.7184299826622009,-0.7184299826622009,-0.7445241212844849,-0.7445241212844849,-0.7138235569000244,-0.7138235569000244,-0.6059578657150269,-0.6059578657150269,-0.18998730182647705,-0.18998730182647705,-0.4879399836063385,-0.4879399836063385
1,1.2574995756149292,1.2540353536605835,-0.011127650737762451,-0.011127650737762451,0.23754125833511353,0.23754125833511353,1.7392706871032715,1.7392706871032715,1.6090800762176514,1.6090800762176514,-0.1391114592552185,-0.1391114592552185,-0.0714845359325409,-0.0714845359325409,-0.08919259905815125,-0.08919259905815125,-0.09030139446258545,-0.09030139446258545,-0.22706250846385956,-0.22706250846385956,-0.22624574601650238,-0.22624574601650238,-0.2041054219007492,-0.2041054219007492,-0.23019956052303314,-0.23019956052303314,-0.1994990110397339,-0.1994990110397339,-0.09163334965705872,-0.09163334965705872,0.3243372440338135,0.3243372440338135,0.026384562253952026,0.026384562253952026
2,0.8474363684654236,0.8082060217857361,8.518948554992676,0.8270931839942932,6.66095495223999,1.1512912511825562,6.554945468902588,0.8093454241752625,10.318669319152832,0.8713812232017517,6.350725173950195,0.9256157279014587,5.710518836975098,0.994696319103241,5.927053928375244,0.8750321269035339,5.753257751464844,0.9023675322532654,5.937263011932373,0.906923234462738,5.5148749351501465,0.8094959855079651,5.785006999969482,0.8189545273780823,6.196173667907715,0.8800910711288452,8.43795108795166,1.4541959762573242,7.2422590255737305,0.8501179218292236,8.325983047485352,0.9611071348190308,9.284379005432129,0.8942714929580688
