,spatial None PL train,spatial None PL val,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
n_iterations,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
t_iterations,354.0,354.0,2551.0,2551.0,3255.0,3255.0,3327.0,3327.0,2907.0,2907.0,3892.0,3892.0,3460.0,3460.0,3805.0,3805.0,3822.0,3822.0,3595.0,3595.0,4518.0,4518.0,4478.0,4478.0,4505.0,4505.0,4031.0,4031.0,4223.0,4223.0,3953.0,3953.0,3121.0,3121.0
budget_usage,0.7957570299209447,0.7957570299209447,0.4732312618833183,0.4732312618833183,0.1957370159111378,0.1957370159111378,0.17592314620234165,0.17592314620234165,0.17762433703592515,0.17762433703592515,0.7464224957470229,0.7464224957470229,0.7166016211347943,0.7166016211347943,0.56699689782848,0.56699689782848,0.659661763234264,0.659661763234264,0.45711998398879217,0.45711998398879217,0.47583308315821077,0.47583308315821077,0.3998799159411588,0.3998799159411588,0.39547683378364856,0.39547683378364856,0.3928750125087561,0.3928750125087561,0.24206944861402982,0.24206944861402982,0.20734514159911938,0.20734514159911938,0.23006104272991093,0.23006104272991093
sensor_usage,1.0,1.0,1.0,1.0,1.0,1.0,0.6461538461538462,0.6461538461538462,0.676923076923077,0.676923076923077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9538461538461539,0.9538461538461539,0.9846153846153847,0.9846153846153847,1.0,1.0,0.8307692307692308,0.8307692307692308,0.7384615384615385,0.7384615384615385,0.8153846153846154,0.8153846153846154
streamtime_usage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF_loss,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463,1.3526594638824463
test_loss,0.7299528121948242,0.7299528121948242,0.1696220189332962,0.1696220189332962,0.3464731276035309,0.3464731276035309,0.9674863219261169,0.9674863219261169,0.6178581118583679,0.6178581118583679,0.21001796424388885,0.21001796424388885,0.3900717794895172,0.3900717794895172,0.33612051606178284,0.33612051606178284,0.2650165855884552,0.2650165855884552,0.09930402040481567,0.09930402040481567,0.10408567637205124,0.10408567637205124,0.10410117357969284,0.10410117357969284,0.11437267065048218,0.11437267065048218,0.29884403944015503,0.29884403944015503,0.3791431188583374,0.3791431188583374,0.4616548717021942,0.4616548717021942,0.414388507604599,0.414388507604599
0,0.7367837429046631,0.8386669158935547,-1.1830374002456665,-1.1830374002456665,-1.0061863660812378,-1.0061863660812378,-0.38517314195632935,-0.38517314195632935,-0.7348013520240784,-0.7348013520240784,-1.142641544342041,-1.142641544342041,-0.9625877141952515,-0.9625877141952515,-1.0165389776229858,-1.0165389776229858,-1.0876429080963135,-1.0876429080963135,-1.2533555030822754,-1.2533555030822754,-1.2485737800598145,-1.2485737800598145,-1.2485582828521729,-1.2485582828521729,-1.2382867336273193,-1.2382867336273193,-1.0538153648376465,-1.0538153648376465,-0.9735163450241089,-0.9735163450241089,-0.8910045623779297,-0.8910045623779297,-0.9382709264755249,-0.9382709264755249
1,0.5458074808120728,0.7617901563644409,-0.5603308081626892,-0.5603308081626892,-0.38347968459129333,-0.38347968459129333,0.23753350973129272,0.23753350973129272,-0.1120947003364563,-0.1120947003364563,-0.5199348330497742,-0.5199348330497742,-0.339881032705307,-0.339881032705307,-0.3938322961330414,-0.3938322961330414,-0.464936226606369,-0.464936226606369,-0.6306487917900085,-0.6306487917900085,-0.6258671283721924,-0.6258671283721924,-0.6258516311645508,-0.6258516311645508,-0.615580141544342,-0.615580141544342,-0.4311087727546692,-0.4311087727546692,-0.3508096933364868,-0.3508096933364868,-0.26829794049263,-0.26829794049263,-0.3155643045902252,-0.3155643045902252
2,0.5398824214935303,0.8468468189239502,4.844463348388672,0.5220568776130676,3.3672494888305664,0.7234088182449341,9.380182266235352,0.29689931869506836,5.0116167068481445,0.6411324739456177,1.500774621963501,0.8417081832885742,1.300112009048462,0.8055324554443359,1.6465357542037964,0.7561818957328796,1.6829191446304321,1.158461570739746,0.3297451436519623,1.3813499212265015,0.30178138613700867,1.300085425376892,0.35202106833457947,1.4242303371429443,0.3270587623119354,1.4289747476577759,7.940514087677002,0.5505176782608032,8.503755569458008,0.49947184324264526,7.671197414398193,0.6888589262962341,7.9920735359191895,0.6214175820350647
