,spatio-temporal None PL train,spatio-temporal None PL val,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val"
n_iterations,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
t_iterations,742.0,742.0,15262.0,15262.0,15846.0,15846.0,15164.0,15164.0,12105.0,12105.0,11640.0,11640.0,10815.0,10815.0,12566.0,12566.0,19944.0,19944.0,24904.0,24904.0,22488.0,22488.0,19061.0,19061.0,18459.0,18459.0,18477.0,18477.0,14886.0,14886.0,14619.0,14619.0,14513.0,14513.0
budget_usage,0.8008748981429858,0.8008748981429858,0.541450443882146,0.541450443882146,0.19530814427241927,0.19530814427241927,0.176695115152035,0.176695115152035,0.18257065660247887,0.18257065660247887,0.7547283098168718,0.7547283098168718,0.7226915984045975,0.7226915984045975,0.5832654286572029,0.5832654286572029,0.6592614830381267,0.6592614830381267,0.47278809452330917,0.47278809452330917,0.478106102843419,0.478106102843419,0.39816442938628466,0.39816442938628466,0.44405369472916756,0.44405369472916756,0.3850409572414976,0.3850409572414976,0.24861688896513273,0.24861688896513273,0.21992537633486298,0.21992537633486298,0.24128318394304585,0.24128318394304585
sensor_usage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9692307692307692,0.9692307692307692,1.0,1.0,1.0,1.0,0.8615384615384616,0.8615384615384616,0.6615384615384615,0.6615384615384615,0.7692307692307693,0.7692307692307693
streamtime_usage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9902506963788301,0.9902506963788301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9986072423398329,0.9986072423398329
RF_loss,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925,1.7576950788497925
test_loss,0.9638796448707581,0.9638796448707581,0.5118412971496582,0.5118412971496582,0.6485934257507324,0.6485934257507324,0.7034980058670044,0.7034980058670044,0.7520747780799866,0.7520747780799866,0.524477481842041,0.524477481842041,0.4172530174255371,0.4172530174255371,0.7714259028434753,0.7714259028434753,0.53764408826828,0.53764408826828,0.2111036777496338,0.2111036777496338,0.23235401511192322,0.23235401511192322,0.26637566089630127,0.26637566089630127,0.24316002428531647,0.24316002428531647,0.49222370982170105,0.49222370982170105,0.563648521900177,0.563648521900177,0.9265933632850647,0.9265933632850647,0.7609494924545288,0.7609494924545288
0,2.1418590545654297,1.5040271282196045,-1.2458537817001343,-1.2458537817001343,-1.10910165309906,-1.10910165309906,-1.054197072982788,-1.054197072982788,-1.0056202411651611,-1.0056202411651611,-1.2332175970077515,-1.2332175970077515,-1.3404420614242554,-1.3404420614242554,-0.9862691760063171,-0.9862691760063171,-1.2200510501861572,-1.2200510501861572,-1.5465914011001587,-1.5465914011001587,-1.5253410339355469,-1.5253410339355469,-1.4913194179534912,-1.4913194179534912,-1.5145350694656372,-1.5145350694656372,-1.265471339225769,-1.265471339225769,-1.1940464973449707,-1.1940464973449707,-0.8311017155647278,-0.8311017155647278,-0.9967455863952637,-0.9967455863952637
1,1.6112542152404785,1.403641939163208,-0.45203834772109985,-0.45203834772109985,-0.31528621912002563,-0.31528621912002563,-0.26038163900375366,-0.26038163900375366,-0.21180486679077148,-0.21180486679077148,-0.43940216302871704,-0.43940216302871704,-0.546626627445221,-0.546626627445221,-0.19245374202728271,-0.19245374202728271,-0.426235556602478,-0.426235556602478,-0.7527759671211243,-0.7527759671211243,-0.7315256595611572,-0.7315256595611572,-0.6975039839744568,-0.6975039839744568,-0.7207196354866028,-0.7207196354866028,-0.471655935049057,-0.471655935049057,-0.40023112297058105,-0.40023112297058105,-0.03728628158569336,-0.03728628158569336,-0.20293015241622925,-0.20293015241622925
2,1.5957145690917969,1.357892394065857,5.512819290161133,1.301979660987854,5.048765182495117,1.259954571723938,9.12774658203125,1.2118887901306152,8.8079833984375,1.1487350463867188,4.457327365875244,1.4605557918548584,5.028018474578857,1.4780244827270508,4.122563362121582,1.470553994178772,4.633725643157959,1.311255931854248,2.601086378097534,1.6903908252716064,2.8187193870544434,1.8733162879943848,2.773094892501831,1.7275707721710205,2.5596423149108887,1.7172843217849731,14.138777732849121,1.1831878423690796,13.33802318572998,1.0898905992507935,14.217663764953613,1.4508599042892456,14.765140533447266,1.5296456813812256
3,1.4515058994293213,1.3339109420776367,3.878606081008911,1.249427318572998,3.6618993282318115,1.2099698781967163,7.323680877685547,1.029628872871399,7.314302444458008,1.0893723964691162,3.2212207317352295,1.2475017309188843,2.921185255050659,1.3516223430633545,3.0787582397460938,1.3379311561584473,3.1279942989349365,1.2580442428588867,1.3236340284347534,1.4158560037612915,1.2077417373657227,1.6387721300125122,1.401489019393921,1.6774300336837769,1.259575366973877,1.6497163772583008,10.130138397216797,1.0665504932403564,11.51904582977295,0.9015679359436035,10.178597450256348,1.2634631395339966,11.904670715332031,1.1609708070755005
4,1.4855222702026367,1.2531541585922241,3.718502998352051,1.1729650497436523,3.5132195949554443,1.1603707075119019,7.3125739097595215,1.0423712730407715,7.229846477508545,1.0149575471878052,3.1410720348358154,1.3140699863433838,2.908485174179077,1.3833520412445068,2.7999160289764404,1.3142805099487305,2.987354040145874,1.2739747762680054,1.2078502178192139,1.5628085136413574,1.058212161064148,1.4879233837127686,1.3324215412139893,1.642964482307434,1.1657274961471558,1.4479531049728394,7.639147758483887,0.9389336109161377,8.824813842773438,0.8440828919410706,7.813070774078369,1.0652083158493042,9.022089004516602,1.127570629119873
5,1.3937424421310425,1.2745840549468994,3.6812660694122314,1.1503677368164062,3.453080177307129,1.3766610622406006,7.148880481719971,1.0340849161148071,7.047490119934082,0.9855020046234131,2.9344677925109863,1.2828140258789062,2.6948230266571045,1.2774815559387207,2.734454393386841,1.338543176651001,2.9549875259399414,1.1850459575653076,1.1241964101791382,1.3368775844573975,1.0197291374206543,1.5234779119491577,1.2897101640701294,1.6268361806869507,1.108263373374939,1.5805655717849731,6.444610595703125,0.7890534400939941,6.981675148010254,0.8451659083366394,6.79907751083374,1.1750794649124146,7.2443342208862305,1.08115816116333
6,1.3585621118545532,1.2307641506195068,3.4779272079467773,1.0818783044815063,3.4713168144226074,1.1431360244750977,7.163405895233154,1.0510896444320679,6.824666500091553,1.0194276571273804,3.020284414291382,1.1975387334823608,2.5745158195495605,1.288817286491394,2.8438992500305176,1.2263853549957275,2.8902878761291504,1.1983466148376465,1.0506037473678589,1.214675784111023,0.9904500246047974,1.5277125835418701,1.260871410369873,1.3877367973327637,1.1114320755004883,1.518418312072754,5.902477264404297,0.7578125596046448,6.356273174285889,0.8517206311225891,6.178703784942627,1.2533429861068726,6.640896797180176,0.7976478934288025
7,1.2615439891815186,1.1582419872283936,3.3912227153778076,1.0283726453781128,3.3609962463378906,1.155067801475525,7.024417400360107,1.0103018283843994,6.842449188232422,0.9871944189071655,2.8315415382385254,1.209632158279419,2.628844976425171,1.1865615844726562,2.621509075164795,1.178807258605957,2.811739921569824,1.1622140407562256,1.0047975778579712,1.2198091745376587,0.9716290831565857,1.5601075887680054,1.2349317073822021,1.545633316040039,1.0734832286834717,1.5425338745117188,5.464156150817871,0.7057589292526245,5.892232894897461,0.7721830010414124,5.857824802398682,1.0801838636398315,6.179399013519287,0.9106931090354919
8,1.1855648756027222,1.1765742301940918,3.152867555618286,0.9764941334724426,3.331491470336914,1.135206937789917,6.955031394958496,1.0006790161132812,6.844602584838867,0.9730923771858215,2.802098035812378,1.1926538944244385,2.523071765899658,1.1594815254211426,2.5761618614196777,1.1645119190216064,2.701979398727417,1.183539628982544,0.9522908329963684,1.2865190505981445,0.9451325535774231,1.5510181188583374,1.187757134437561,1.5092803239822388,1.0517405271530151,1.5628457069396973,5.189244270324707,0.8075510263442993,5.691159248352051,0.7326879501342773,5.451376438140869,1.0475964546203613,5.885575294494629,0.9011728763580322
9,1.132773756980896,1.5430967807769775,2.9962055683135986,0.9963250160217285,3.214893102645874,1.1319389343261719,6.732516765594482,0.9947540760040283,6.885696887969971,1.010288953781128,2.672933578491211,1.0940053462982178,2.4773144721984863,1.1555919647216797,2.508923292160034,1.2228857278823853,2.547534465789795,1.2173912525177002,0.9141451120376587,1.4639936685562134,0.9235963821411133,1.58551025390625,1.1398437023162842,1.5553956031799316,1.0201431512832642,1.5552059412002563,5.039215564727783,0.8271929621696472,5.440400123596191,0.7539982199668884,5.296858787536621,0.8725600242614746,5.673183441162109,0.9298439621925354
10,1.053056240081787,1.129546880722046,2.862553596496582,0.9915943741798401,2.965334415435791,1.0319284200668335,6.217017650604248,1.0242795944213867,6.682579040527344,0.9825831651687622,2.3420841693878174,1.1754652261734009,2.4609405994415283,1.1281825304031372,2.496164321899414,1.1927212476730347,2.4867186546325684,1.0998506546020508,0.8705114722251892,1.2709941864013672,0.9139038920402527,1.4254498481750488,1.0644581317901611,1.4971990585327148,0.9838789105415344,1.5258105993270874,4.904933452606201,0.8869950175285339,5.346577167510986,0.7752488851547241,5.205218315124512,0.9390485286712646,5.4728102684021,0.9354380369186401
11,0.9998251795768738,1.0983721017837524,2.700941562652588,0.9495435953140259,2.6917428970336914,1.0070996284484863,5.987329483032227,0.9594355225563049,6.309075832366943,0.9578905701637268,2.2476940155029297,1.0186814069747925,2.387350082397461,1.587689757347107,2.387056589126587,1.1794184446334839,2.380159378051758,1.0441946983337402,0.8446807861328125,1.2098451852798462,0.8767497539520264,1.468850016593933,0.9979764819145203,1.5183237791061401,0.9473255276679993,1.525586485862732,4.692631721496582,0.8320375084877014,5.0757269859313965,0.7890071868896484,5.125696659088135,0.7710131406784058,5.263715744018555,1.03376042842865
