,spatial None PL data,spatial None PL sensors,spatial None PL streamtimes,spatial None PL accuracy,spatial X_st rnd d_c data,spatial X_st rnd d_c sensors,spatial X_st rnd d_c streamtimes,spatial X_st rnd d_c accuracy,spatial X_st min d_c data,spatial X_st min d_c sensors,spatial X_st min d_c streamtimes,spatial X_st min d_c accuracy,spatial X_st max d_c data,spatial X_st max d_c sensors,spatial X_st max d_c streamtimes,spatial X_st max d_c accuracy,spatial X_st avg d_c data,spatial X_st avg d_c sensors,spatial X_st avg d_c streamtimes,spatial X_st avg d_c accuracy,"spatial X_(t,s) rnd d_c data","spatial X_(t,s) rnd d_c sensors","spatial X_(t,s) rnd d_c streamtimes","spatial X_(t,s) rnd d_c accuracy","spatial X_(t,s) min d_c data","spatial X_(t,s) min d_c sensors","spatial X_(t,s) min d_c streamtimes","spatial X_(t,s) min d_c accuracy","spatial X_(t,s) max d_c data","spatial X_(t,s) max d_c sensors","spatial X_(t,s) max d_c streamtimes","spatial X_(t,s) max d_c accuracy","spatial X_(t,s) avg d_c data","spatial X_(t,s) avg d_c sensors","spatial X_(t,s) avg d_c streamtimes","spatial X_(t,s) avg d_c accuracy","spatial Y_hat_(t,s) rnd d_c data","spatial Y_hat_(t,s) rnd d_c sensors","spatial Y_hat_(t,s) rnd d_c streamtimes","spatial Y_hat_(t,s) rnd d_c accuracy","spatial Y_hat_(t,s) min d_c data","spatial Y_hat_(t,s) min d_c sensors","spatial Y_hat_(t,s) min d_c streamtimes","spatial Y_hat_(t,s) min d_c accuracy","spatial Y_hat_(t,s) max d_c data","spatial Y_hat_(t,s) max d_c sensors","spatial Y_hat_(t,s) max d_c streamtimes","spatial Y_hat_(t,s) max d_c accuracy","spatial Y_hat_(t,s) avg d_c data","spatial Y_hat_(t,s) avg d_c sensors","spatial Y_hat_(t,s) avg d_c streamtimes","spatial Y_hat_(t,s) avg d_c accuracy","spatial Y_(t,s) rnd d_c data","spatial Y_(t,s) rnd d_c sensors","spatial Y_(t,s) rnd d_c streamtimes","spatial Y_(t,s) rnd d_c accuracy","spatial Y_(t,s) min d_c data","spatial Y_(t,s) min d_c sensors","spatial Y_(t,s) min d_c streamtimes","spatial Y_(t,s) min d_c accuracy","spatial Y_(t,s) max d_c data","spatial Y_(t,s) max d_c sensors","spatial Y_(t,s) max d_c streamtimes","spatial Y_(t,s) max d_c accuracy","spatial Y_(t,s) avg d_c data","spatial Y_(t,s) avg d_c sensors","spatial Y_(t,s) avg d_c streamtimes","spatial Y_(t,s) avg d_c accuracy"
0,10,100,94,21,10,98,100,30,10,95,100,33,10,63,100,13,10,63,100,16,10,100,97,20,10,100,91,22,10,100,67,11,10,100,80,15,10,97,97,21,10,97,96,19,10,92,85,22,10,91,92,20,10,83,98,40,10,60,97,26,10,54,96,31,10,65,97,33
1,20,100,100,5,20,100,100,32,20,100,100,28,20,97,100,28,20,97,100,26,20,100,100,27,20,100,97,21,20,100,79,28,20,100,94,21,20,100,100,52,20,100,99,50,20,98,99,49,20,95,99,45,20,89,100,54,20,74,99,43,20,69,100,49,20,78,100,55
2,30,100,100,16,30,100,100,30,30,100,100,34,30,100,100,27,30,100,100,25,30,100,100,33,30,100,100,33,30,100,89,36,30,100,99,36,30,100,100,71,30,100,99,71,30,98,100,68,30,97,100,68,30,92,100,63,30,83,100,70,30,82,100,62,30,83,100,62
3,40,100,100,22,40,100,100,32,40,100,100,34,40,100,100,24,40,100,100,25,40,100,100,40,40,100,100,41,40,100,94,41,40,100,100,43,40,100,100,79,40,100,99,77,40,98,100,79,40,100,100,79,40,97,100,80,40,88,100,78,40,88,100,76,40,88,100,75
4,50,100,100,23,50,100,100,26,50,100,100,36,50,100,100,26,50,100,100,23,50,100,100,45,50,100,100,53,50,100,98,45,50,100,100,46,50,100,100,84,50,100,99,83,50,98,100,83,50,100,100,83,50,98,100,82,50,91,100,84,50,94,100,81,50,91,100,83
5,60,100,100,30,60,100,100,36,60,100,100,34,60,100,100,28,60,100,100,28,60,100,100,53,60,100,100,61,60,100,100,54,60,100,100,57,60,100,100,86,60,100,100,86,60,100,100,86,60,100,100,85,60,98,100,87,60,91,100,82,60,94,100,84,60,94,100,86
6,70,100,100,24,70,100,100,35,70,100,100,36,70,100,100,24,70,100,100,29,70,100,100,60,70,100,100,68,70,100,100,58,70,100,100,63,70,100,100,89,70,100,100,88,70,100,100,88,70,100,100,88,70,98,100,89,70,92,100,87,70,95,100,87,70,95,100,88
7,80,100,100,29,80,100,100,35,80,100,100,35,80,100,100,26,80,100,100,27,80,100,100,65,80,100,100,71,80,100,100,66,80,100,100,68,80,100,100,90,80,100,100,89,80,100,100,89,80,100,100,90,80,100,100,89,80,95,100,89,80,95,100,88,80,97,100,89
8,90,100,100,29,90,100,100,33,90,100,100,40,90,100,100,31,90,100,100,30,90,100,100,69,90,100,100,76,90,100,100,70,90,100,100,71,90,100,100,91,90,100,100,90,90,100,100,91,90,100,100,91,90,100,100,91,90,98,100,89,90,95,100,91,90,97,100,91
9,100,100,100,32,100,100,100,37,100,100,100,39,100,100,100,28,100,100,100,32,100,100,100,72,100,100,100,78,100,100,100,74,100,100,100,74,100,100,100,92,100,100,100,91,100,100,100,92,100,100,100,92,100,100,100,91,100,98,100,90,100,95,100,91,100,97,100,92
