,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
test_loss,0.41448933,0.41448933,0.54011285,0.54011285,0.34951288,0.34951288,0.38227022,0.38227022,0.14594258,0.14594258,0.14899144,0.14899144,0.12745781,0.12745781,0.16266727,0.16266727,0.05398308,0.05398308,0.06551969,0.06551969,0.049795248,0.049795248,0.04773871,0.04773871,0.08709203,0.08709203,0.10113552,0.10113552,0.10489281,0.10489281,0.118526235,0.118526235
0,1.079599,0.8416099,0.922538,0.82853645,1.3011873,0.8082125,1.0752133,0.85612863,1.9936717,0.7860663,1.4930595,0.8692392,1.9130225,0.7647268,1.7825468,0.77293336,1.7632105,0.8329219,1.8985121,0.73688185,1.4023094,0.83635986,1.9118409,0.7379657,2.054804,0.7603877,2.0967839,0.7052615,1.5347512,0.75688696,1.7253816,0.7850595
1,0.8607857,0.8317987,0.80885905,0.74450356,1.1109046,0.7770989,0.9658919,0.76315093,1.4787815,0.6826491,1.2125726,0.7611392,1.4627168,0.7905778,1.2555068,0.80525136,1.428775,0.72086364,1.5076456,0.71864694,1.0918683,0.8217863,1.3398628,0.7210066,1.6854659,0.67834806,1.6740181,0.715684,1.2802655,0.823337,1.3989537,0.71090066
2,0.83754385,0.73541796,0.7592052,0.7831832,0.95438826,0.76417196,0.80049866,0.921277,1.4236084,0.7020243,1.0560437,1.4780563,1.2498093,0.8292644,1.2330291,0.7059703,1.3043501,0.771087,1.2711991,0.67139494,1.0656308,0.7558608,1.2833356,0.6714403,1.4368116,0.7273764,1.5456582,0.6468433,1.1366845,0.7295564,1.3054297,0.66147643
3,0.7692127,0.7718328,0.72133726,0.7249807,0.9048837,0.7713106,0.76733404,0.82258,1.2291011,0.68062466,1.1096932,0.794779,1.2925447,0.6659777,1.1776412,0.9523065,1.318555,0.66755104,1.0876961,0.7050663,0.93806446,0.7480767,1.1203444,0.68395764,1.3565388,0.67421293,1.3651997,0.6442753,1.0358303,0.75746185,1.2036768,0.67923105
4,0.63559455,0.8716419,0.7019821,0.70973617,0.8054072,0.80263954,0.7029564,0.82141066,1.2067437,0.77210814,0.9542735,0.74724853,1.1156908,0.8036453,1.1564227,0.66824424,1.1353734,0.68115735,1.043833,0.61739373,0.9297234,0.7407505,1.0218687,0.681485,1.3416431,0.661085,1.2865596,0.63132,1.0801222,0.7510867,1.0503317,0.671137
5,0.6997573,0.7653124,0.6424027,0.7876444,0.7951944,0.78741395,0.73841137,0.7507638,1.0574961,0.7214121,0.9632788,0.6926072,1.0835475,0.717834,1.0681728,0.6743059,1.1238621,0.65228707,0.93149704,0.64218616,0.9279912,0.76114887,0.9365941,0.77326816,1.1902823,0.6504207,1.2961813,0.72569436,0.9920219,0.7051473,0.93123776,0.67836154
6,0.58661693,0.7384624,0.6091358,0.68509066,0.77229136,0.7934779,0.6613638,0.78701025,1.1149642,0.6459995,0.96313703,0.7258904,1.0676918,0.8983924,1.0097839,0.6778198,1.0400647,0.63083404,0.9620167,0.6584862,0.66414934,0.74568725,0.84977955,0.59999317,1.0268594,0.680242,1.0465399,0.85219276,0.928255,0.74668,0.9133105,0.67030585
7,0.56758225,0.7485223,0.5288838,0.90305465,0.7377,0.91207886,0.60565203,0.7896306,0.862001,0.62343895,0.8247779,0.69545454,1.0153884,0.6574254,1.0253092,0.6515665,0.93690544,0.65172327,0.8266384,0.75347555,0.7629096,0.7411478,0.7861838,0.71433145,1.185836,0.7456463,1.0091146,0.67717993,0.8594651,0.6738374,0.9256245,0.61295205
8,0.5372295,0.74095255,0.5608888,0.7122447,0.7610919,0.7915779,0.5794707,0.7540732,0.9363616,0.60811657,0.7760736,0.7272853,1.010788,0.6523894,0.9240282,0.6650712,0.95811754,0.6881841,0.747724,0.8184654,0.73861396,0.668417,0.6405964,0.86422074,1.0382532,0.6464471,0.99901235,0.7542045,0.7873456,0.73398846,0.7974028,0.6556129
9,0.5155513,0.7643236,0.51826656,0.665842,0.64735496,0.79172564,0.5608011,0.8356666,0.86434525,0.7019321,0.7292978,0.72090006,0.9382809,0.71756,0.9073353,0.61883754,0.90351397,0.88940805,0.81420195,0.7285979,0.71623945,0.65708154,0.7238262,0.65288067,0.9574325,0.6789554,0.92431027,0.6222373,0.8473591,0.6880178,0.73033845,0.72467977
10,0.49636653,0.85361975,0.5233645,0.6715405,0.60705906,0.7697508,0.4976012,0.7709236,0.8706898,0.6271023,0.72604495,0.7076219,0.9662696,0.6787503,0.8477176,0.6584064,0.8024849,0.61237997,0.6895109,0.76080996,0.6818555,0.69495326,0.63621634,0.69811577,0.90559506,0.588955,0.82943505,0.606198,0.78495455,0.697477,0.6699769,0.66580486
11,0.38440436,0.74322206,0.44899428,0.6923931,0.58834326,0.7350931,0.48490202,0.7679033,0.7879843,0.66201603,0.678978,0.662693,0.92425245,0.6534933,0.7962904,0.61758244,0.8687421,0.6015323,0.6244833,0.7119685,0.61516035,0.6775308,0.6065735,0.5791996,0.9284542,0.68304175,0.80736715,0.58152443,0.72773445,0.689788,0.6426792,0.6622481
12,0.4345317,0.6792,0.40276885,0.69607776,0.55371606,0.7292138,0.52909374,0.7689355,0.7877202,0.6106953,0.69311005,0.7773586,0.8537393,0.60914767,0.7371599,0.5998459,0.78740126,0.64030504,0.6316535,0.60804224,0.71265966,0.6646765,0.59120065,0.610448,0.89339113,0.6246597,0.789684,0.6028753,0.68322396,0.6573826,0.6439887,0.62950516
13,0.39428362,0.75678104,0.39312622,0.6752377,0.5559653,0.71564865,0.47341302,0.73831147,0.6879546,0.6817639,0.5491081,0.8464585,0.7915657,0.68607235,0.7208978,0.65005344,0.7395115,0.72131515,0.5673883,0.6397113,0.61882615,0.68676174,0.5872162,0.6763013,0.7822592,0.609091,0.73786944,0.7354408,0.62450755,0.691561,0.58460957,0.62518686
14,0.38768873,0.74120796,0.3398183,0.7057422,0.48598415,0.8195303,0.41130775,0.76962423,0.67910326,0.7329519,0.6541895,0.67962056,0.84413904,0.6558826,0.651199,0.6029282,0.6984506,0.6316502,0.57605594,0.59902304,0.5371221,0.7613226,0.5286432,0.570155,0.8078333,0.6411382,0.72430915,0.76376045,0.58877856,0.6793358,0.5518006,0.62048274
15,0.43215203,0.73700446,0.35834467,0.7285638,0.5626909,0.7408888,0.41289932,0.7374152,0.59496224,0.7076551,0.6040022,0.7027739,0.7225531,0.59785736,0.58834726,0.7333425,0.6073665,0.6401068,0.55310446,0.61219007,0.6229458,0.7269544,0.52775013,0.63884646,0.70315117,0.7465816,0.6203705,0.6210737,0.58914274,0.704902,0.5421969,0.6418261
16,0.3760872,0.7263395,0.32913885,0.67426556,0.4546505,0.77120817,0.43970737,0.7785028,0.692214,0.6484506,0.5329777,0.7087051,0.6808571,0.6482132,0.55153316,0.77091396,0.6357118,0.7735613,0.5187459,0.5830729,0.5028059,0.6136715,0.43584517,0.61201656,0.67065865,0.6531017,0.6600532,0.7135294,0.5213157,0.70806783,0.50860375,0.6405436
17,0.3128322,0.7598426,0.34280464,0.6752345,0.4833433,0.78142715,0.38060012,0.7611652,0.4894869,0.6108437,0.48960194,0.6966602,0.69045156,0.7261053,0.5613175,0.6867787,0.66962785,0.73326814,0.4403736,0.62394446,0.58967483,0.63394344,0.48001713,0.6338833,0.7588038,0.65360487,0.6290014,0.65109456,0.5395882,0.65267116,0.51721764,0.58947
18,0.31731457,0.74095076,0.27192008,0.704631,0.38444155,0.72698987,0.3281385,0.7681223,0.63637143,0.61893064,0.46153754,0.69099903,0.6409936,0.69550025,0.49730533,0.60917073,0.47106263,0.6996497,0.47008643,0.57355547,0.46787876,0.6749004,0.41935697,0.63393354,0.66596967,0.65502375,0.58238107,0.5870986,0.4539946,0.7015066,0.5090286,0.6596339
19,0.35208276,0.75985366,0.29390332,0.6582266,0.41869435,0.7264735,0.3466337,0.7630644,1.0414356,0.5911725,0.4114257,0.723532,0.65422285,0.63102543,0.5310531,0.6108695,0.60752594,0.68017614,0.4412193,0.5562702,0.43659544,0.618211,0.4181037,0.66076994,0.6426165,0.655402,0.57731396,0.57809526,0.55984735,0.6828211,0.47641894,0.6477601
