,spatio-temporal None PL train,spatio-temporal None PL val,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val"
n_iterations,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
t_iterations,879.0,879.0,17272.0,17272.0,15978.0,15978.0,16721.0,16721.0,16823.0,16823.0,20665.0,20665.0,21195.0,21195.0,20804.0,20804.0,20375.0,20375.0,31897.0,31897.0,31118.0,31118.0,30218.0,30218.0,24164.0,24164.0,24456.0,24456.0,24043.0,24043.0,20379.0,20379.0,17008.0,17008.0
budget_usage,0.8008834376876233,0.8008834376876233,0.5120078908997341,0.5120078908997341,0.2047774251651085,0.2047774251651085,0.18869542842439319,0.18869542842439319,0.1881808045286903,0.1881808045286903,0.741658804357149,0.741658804357149,0.7267347113817652,0.7267347113817652,0.5492323526889099,0.5492323526889099,0.6161334591302856,0.6161334591302856,0.46054550132944505,0.46054550132944505,0.47860022300368815,0.47860022300368815,0.39004202761814905,0.39004202761814905,0.41684535551934127,0.41684535551934127,0.40530920319066815,0.40530920319066815,0.2728364353718158,0.2728364353718158,0.23822797838579637,0.23822797838579637,0.26661806329873916,0.26661806329873916
sensor_usage,1.0,1.0,1.0,1.0,1.0,1.0,0.9846153846153847,0.9846153846153847,0.9846153846153847,0.9846153846153847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8769230769230769,0.8769230769230769,0.7076923076923077,0.7076923076923077,0.7846153846153846,0.7846153846153846
streamtime_usage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9916434540389972,0.9916434540389972,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972144846796658,0.9972144846796658,0.9986072423398329,0.9986072423398329,1.0,1.0
RF_loss,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602,1.3217401504516602
test_loss,0.44239452481269836,0.44239452481269836,0.34869542717933655,0.34869542717933655,0.46981528401374817,0.46981528401374817,0.551235556602478,0.551235556602478,0.5122168660163879,0.5122168660163879,0.2527720332145691,0.2527720332145691,0.2720124423503876,0.2720124423503876,0.29473215341567993,0.29473215341567993,0.30247169733047485,0.30247169733047485,0.1695793718099594,0.1695793718099594,0.17292200028896332,0.17292200028896332,0.22798573970794678,0.22798573970794678,0.19106152653694153,0.19106152653694153,0.2308228462934494,0.2308228462934494,0.42897355556488037,0.42897355556488037,0.712639331817627,0.712639331817627,0.5385911464691162,0.5385911464691162
0,1.655288815498352,1.1774641275405884,-0.973044753074646,-0.973044753074646,-0.8519248962402344,-0.8519248962402344,-0.7705045938491821,-0.7705045938491821,-0.8095232844352722,-0.8095232844352722,-1.0689680576324463,-1.0689680576324463,-1.0497276782989502,-1.0497276782989502,-1.027008056640625,-1.027008056640625,-1.01926851272583,-1.01926851272583,-1.1521607637405396,-1.1521607637405396,-1.1488181352615356,-1.1488181352615356,-1.0937544107437134,-1.0937544107437134,-1.130678653717041,-1.130678653717041,-1.0909173488616943,-1.0909173488616943,-0.8927665948867798,-0.8927665948867798,-0.6091008186340332,-0.6091008186340332,-0.783149003982544,-0.783149003982544
1,1.1515244245529175,1.017942190170288,-0.09369909763336182,-0.09369909763336182,0.027420759201049805,0.027420759201049805,0.10884103178977966,0.10884103178977966,0.06982234120368958,0.06982234120368958,-0.18962249159812927,-0.18962249159812927,-0.1703820824623108,-0.1703820824623108,-0.14766237139701843,-0.14766237139701843,-0.1399228274822235,-0.1399228274822235,-0.27281516790390015,-0.27281516790390015,-0.26947253942489624,-0.26947253942489624,-0.2144087851047516,-0.2144087851047516,-0.25133299827575684,-0.25133299827575684,-0.21157167851924896,-0.21157167851924896,-0.013420969247817993,-0.013420969247817993,0.2702448070049286,0.2702448070049286,0.09619662165641785,0.09619662165641785
2,0.9253263473510742,0.8222404718399048,4.996469974517822,1.0216184854507446,6.703701019287109,1.190089225769043,7.616939067840576,0.9363695979118347,5.509819984436035,1.033760666847229,3.8838319778442383,0.8588247299194336,4.267357349395752,0.967448890209198,4.80755090713501,0.9023804664611816,5.142513275146484,0.8950682282447815,5.3556904792785645,1.0510716438293457,5.270011901855469,1.0535228252410889,6.9786481857299805,1.0907864570617676,5.549276828765869,0.9403910040855408,8.574487686157227,1.4611231088638306,6.588765621185303,1.3059072494506836,6.2089104652404785,1.1101539134979248,7.010008811950684,1.35603666305542
