,spatial None PL data,spatial None PL sensors,spatial None PL streamtimes,spatial None PL accuracy,spatial X_st rnd d_c data,spatial X_st rnd d_c sensors,spatial X_st rnd d_c streamtimes,spatial X_st rnd d_c accuracy,spatial X_st min d_c data,spatial X_st min d_c sensors,spatial X_st min d_c streamtimes,spatial X_st min d_c accuracy,spatial X_st max d_c data,spatial X_st max d_c sensors,spatial X_st max d_c streamtimes,spatial X_st max d_c accuracy,spatial X_st avg d_c data,spatial X_st avg d_c sensors,spatial X_st avg d_c streamtimes,spatial X_st avg d_c accuracy,"spatial X_(t,s) rnd d_c data","spatial X_(t,s) rnd d_c sensors","spatial X_(t,s) rnd d_c streamtimes","spatial X_(t,s) rnd d_c accuracy","spatial X_(t,s) min d_c data","spatial X_(t,s) min d_c sensors","spatial X_(t,s) min d_c streamtimes","spatial X_(t,s) min d_c accuracy","spatial X_(t,s) max d_c data","spatial X_(t,s) max d_c sensors","spatial X_(t,s) max d_c streamtimes","spatial X_(t,s) max d_c accuracy","spatial X_(t,s) avg d_c data","spatial X_(t,s) avg d_c sensors","spatial X_(t,s) avg d_c streamtimes","spatial X_(t,s) avg d_c accuracy","spatial Y_hat_(t,s) rnd d_c data","spatial Y_hat_(t,s) rnd d_c sensors","spatial Y_hat_(t,s) rnd d_c streamtimes","spatial Y_hat_(t,s) rnd d_c accuracy","spatial Y_hat_(t,s) min d_c data","spatial Y_hat_(t,s) min d_c sensors","spatial Y_hat_(t,s) min d_c streamtimes","spatial Y_hat_(t,s) min d_c accuracy","spatial Y_hat_(t,s) max d_c data","spatial Y_hat_(t,s) max d_c sensors","spatial Y_hat_(t,s) max d_c streamtimes","spatial Y_hat_(t,s) max d_c accuracy","spatial Y_hat_(t,s) avg d_c data","spatial Y_hat_(t,s) avg d_c sensors","spatial Y_hat_(t,s) avg d_c streamtimes","spatial Y_hat_(t,s) avg d_c accuracy","spatial Y_(t,s) rnd d_c data","spatial Y_(t,s) rnd d_c sensors","spatial Y_(t,s) rnd d_c streamtimes","spatial Y_(t,s) rnd d_c accuracy","spatial Y_(t,s) min d_c data","spatial Y_(t,s) min d_c sensors","spatial Y_(t,s) min d_c streamtimes","spatial Y_(t,s) min d_c accuracy","spatial Y_(t,s) max d_c data","spatial Y_(t,s) max d_c sensors","spatial Y_(t,s) max d_c streamtimes","spatial Y_(t,s) max d_c accuracy","spatial Y_(t,s) avg d_c data","spatial Y_(t,s) avg d_c sensors","spatial Y_(t,s) avg d_c streamtimes","spatial Y_(t,s) avg d_c accuracy"
0,10,100,94,42,10,100,100,65,10,94,100,63,10,54,100,77,10,51,100,66,10,100,93,49,10,100,88,30,10,98,73,51,10,100,82,55,10,94,92,3,10,94,93,30,10,83,88,0,10,88,90,0,10,85,94,67,10,71,98,72,10,58,94,66,10,63,94,68
1,19,100,100,49,17,100,100,71,13,95,100,65,13,58,100,72,12,58,100,65,19,100,99,53,19,100,96,48,19,100,89,52,19,100,96,48,19,98,99,54,19,100,100,55,18,94,97,50,18,97,100,40,15,89,100,68,13,75,99,66,13,63,99,63,13,71,99,68
2,28,100,100,39,22,100,100,80,15,97,100,44,14,62,100,71,14,62,100,67,28,100,99,56,28,100,100,52,26,100,96,52,26,100,98,51,26,98,100,83,26,100,100,76,25,94,100,80,24,97,100,74,19,95,100,73,16,77,99,71,14,68,100,61,15,74,99,67
3,37,100,100,38,27,100,100,82,16,97,100,70,15,62,100,58,15,62,100,62,36,100,99,59,36,100,100,55,32,100,96,54,33,100,99,62,31,100,100,89,32,100,100,86,29,94,100,89,28,97,100,86,23,97,100,72,18,80,100,73,16,68,100,56,17,75,100,69
4,45,100,100,46,31,100,100,84,17,97,100,72,16,62,100,45,15,62,100,68,44,100,100,62,43,100,100,61,37,100,97,59,40,100,99,64,34,100,100,91,35,100,100,89,32,94,100,90,31,97,100,89,26,98,100,75,19,82,100,73,17,69,100,62,18,77,100,66
5,52,100,100,46,35,100,100,85,18,97,100,71,16,62,100,35,16,63,100,62,51,100,100,70,50,100,100,61,42,100,99,66,46,100,99,67,37,100,100,92,39,100,100,91,34,94,100,90,34,97,100,91,29,98,100,75,20,82,100,71,18,69,100,64,19,78,100,70
6,60,100,100,42,38,100,100,87,18,98,100,68,17,63,100,48,17,66,100,59,58,100,100,73,56,100,100,62,46,100,99,68,51,100,99,71,40,100,100,92,41,100,100,92,36,94,100,91,36,97,100,91,32,100,100,76,21,83,100,76,19,69,100,65,20,78,100,69
7,67,100,100,45,41,100,100,87,19,98,100,76,17,65,100,32,17,66,100,55,64,100,100,77,62,100,100,66,50,100,99,70,57,100,100,77,42,100,100,93,43,100,100,92,38,94,100,91,37,98,100,92,34,100,100,76,23,83,100,75,19,71,100,63,21,78,100,69
8,73,100,100,51,44,100,100,88,19,100,100,76,17,65,100,42,17,66,100,50,70,100,100,82,67,100,100,71,53,100,100,74,61,100,100,80,44,100,100,93,46,100,100,92,39,95,100,91,38,98,100,92,37,100,100,80,24,83,100,75,20,72,100,66,22,80,100,69
9,80,100,100,46,47,100,100,87,20,100,100,74,18,65,100,29,18,68,100,54,75,100,100,84,72,100,100,71,57,100,100,75,66,100,100,80,46,100,100,93,48,100,100,92,40,95,100,92,40,98,100,92,39,100,100,78,24,83,100,72,21,74,100,66,23,82,100,69
