,temporal None PL train,temporal None PL val,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
n_iterations,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
t_iterations,317.0,317.0,2924.0,2924.0,2930.0,2930.0,2843.0,2843.0,3069.0,3069.0,4563.0,4563.0,4435.0,4435.0,4567.0,4567.0,4586.0,4586.0,5497.0,5497.0,4804.0,4804.0,4759.0,4759.0,5130.0,5130.0,4608.0,4608.0,3748.0,3748.0,3553.0,3553.0,3438.0,3438.0
budget_usage,0.7950650423291349,0.7950650423291349,0.7529423910799091,0.7529423910799091,0.18810654552963038,0.18810654552963038,0.14908114804873013,0.14908114804873013,0.1497005988023952,0.1497005988023952,0.7400371670452199,0.7400371670452199,0.7046252322940326,0.7046252322940326,0.5240553376006607,0.5240553376006607,0.6118108610365476,0.6118108610365476,0.4725376832541813,0.4725376832541813,0.47129878174685114,0.47129878174685114,0.3458600041296717,0.3458600041296717,0.3703283088994425,0.3703283088994425,0.43165393351228576,0.43165393351228576,0.26863514350609125,0.26863514350609125,0.23817881478422465,0.23817881478422465,0.25862068965517243,0.25862068965517243
sensor_usage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
streamtime_usage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972144846796658,0.9972144846796658,0.8885793871866295,0.8885793871866295,0.9874651810584958,0.9874651810584958,1.0,1.0,1.0,1.0,0.9986072423398329,0.9986072423398329,1.0,1.0,1.0,1.0,0.9832869080779945,0.9832869080779945,0.9484679665738162,0.9484679665738162,0.9651810584958217,0.9651810584958217
RF_loss,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582,0.3044458329677582
test_loss,0.22308875620365143,0.22308875620365143,0.19814810156822205,0.19814810156822205,0.2574496567249298,0.2574496567249298,0.35440030694007874,0.35440030694007874,0.32736891508102417,0.32736891508102417,0.13486896455287933,0.13486896455287933,0.18076594173908234,0.18076594173908234,0.2094753086566925,0.2094753086566925,0.17625457048416138,0.17625457048416138,0.10123100131750107,0.10123100131750107,0.11029508709907532,0.11029508709907532,0.11762359738349915,0.11762359738349915,0.11372200399637222,0.11372200399637222,0.11256973445415497,0.11256973445415497,0.1630934178829193,0.1630934178829193,0.32405269145965576,0.32405269145965576,0.24342969059944153,0.24342969059944153
0,0.44174134731292725,0.3882456421852112,-0.10629773139953613,-0.10629773139953613,-0.04699617624282837,-0.04699617624282837,0.04995447397232056,0.04995447397232056,0.02292308211326599,0.02292308211326599,-0.16957686841487885,-0.16957686841487885,-0.12367989122867584,-0.12367989122867584,-0.09497052431106567,-0.09497052431106567,-0.1281912624835968,-0.1281912624835968,-0.2032148241996765,-0.2032148241996765,-0.19415074586868286,-0.19415074586868286,-0.18682223558425903,-0.18682223558425903,-0.19072383642196655,-0.19072383642196655,-0.1918760985136032,-0.1918760985136032,-0.14135241508483887,-0.14135241508483887,0.019606858491897583,0.019606858491897583,-0.06101614236831665,-0.06101614236831665
1,0.3258291184902191,0.3465953767299652,-0.024940654635429382,-0.024940654635429382,0.03436090052127838,0.03436090052127838,0.1313115507364273,0.1313115507364273,0.10428015887737274,0.10428015887737274,-0.0882197916507721,-0.0882197916507721,-0.04232281446456909,-0.04232281446456909,-0.013613447546958923,-0.013613447546958923,-0.04683418571949005,-0.04683418571949005,-0.12185775488615036,-0.12185775488615036,-0.11279366910457611,-0.11279366910457611,-0.10546515882015228,-0.10546515882015228,-0.1093667522072792,-0.1093667522072792,-0.11051902174949646,-0.11051902174949646,-0.05999533832073212,-0.05999533832073212,0.10096393525600433,0.10096393525600433,0.0203409343957901,0.0203409343957901
2,0.2526502013206482,0.3008110225200653,0.7927778959274292,0.43007948994636536,0.6746135950088501,0.40896275639533997,0.7615430355072021,0.42865490913391113,0.8140293955802917,0.42486390471458435,0.8549719452857971,0.40446269512176514,0.7981744408607483,0.41892415285110474,1.0610438585281372,0.3705930709838867,1.1170483827590942,0.40987852215766907,0.958428680896759,0.37887102365493774,0.8862490057945251,0.411862850189209,1.321262240409851,0.38417211174964905,1.1437193155288696,0.29665350914001465,2.4979052543640137,0.42342618107795715,2.5979247093200684,0.2906729280948639,2.676569938659668,0.4699588716030121,2.7470648288726807,0.25939443707466125
