,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
test_loss,0.20817085,0.20817085,0.25443593,0.25443593,0.27313572,0.27313572,0.29031578,0.29031578,0.16518667,0.16518667,0.19351141,0.19351141,0.20497069,0.20497069,0.18784796,0.18784796,0.109130286,0.109130286,0.11340039,0.11340039,0.108981885,0.108981885,0.11148038,0.11148038,0.11478978,0.11478978,0.1671597,0.1671597,0.32627365,0.32627365,0.21433909,0.21433909
0,0.6183645,0.40348247,0.70412797,0.42337194,0.7621242,0.4192308,0.7526796,0.4216189,0.7332357,0.3674052,0.6056225,0.3972633,0.6713618,0.4252195,0.6881282,0.41825342,1.2847091,0.33674717,1.2759463,0.31541878,1.6315521,0.29840112,1.6278254,0.3389647,1.4722041,0.27989304,1.7370865,0.47424087,1.9000238,0.36900333,1.9827341,0.4426418
1,0.43430758,0.32027534,0.5360874,0.318431,0.6016556,0.38228777,0.60987717,0.33682698,0.5481969,0.33142275,0.48094946,0.30001026,0.5974833,0.36248448,0.51651925,0.30073595,0.92463946,0.3099902,0.8588245,0.27935538,1.1723273,0.30251205,1.1739324,0.27166325,1.0920091,0.30832672,1.2746737,0.2888889,1.3484883,0.4612846,1.2862859,0.27311775
2,0.37308818,0.29984596,0.42507735,0.28513053,0.51024395,0.30796292,0.5191948,0.29473925,0.48968092,0.27446604,0.3838196,0.30579495,0.47825244,0.30170318,0.44199848,0.30488005,0.8478003,0.27854788,0.77356267,0.25439078,1.0954158,0.28068814,1.0046012,0.24847358,0.9788665,0.25682148,1.1566849,0.2523694,1.3289616,0.3087995,1.1912575,0.4188287
3,0.35005066,0.2882376,0.38136938,0.27968815,0.48914745,0.29848045,0.49154547,0.29823974,0.45330906,0.26878443,0.36939058,0.28695804,0.39357212,0.2860671,0.40429023,0.2917817,0.7831202,0.24840228,0.72315896,0.25119793,1.0413176,0.31178647,0.9377358,0.24402107,0.9958083,0.25791872,1.0853059,0.2589451,1.2473842,0.3115274,1.1933503,0.3018308
4,0.3405031,0.28083745,0.3771457,0.29285073,0.46446404,0.3119902,0.4729079,0.31920964,0.42735386,0.2890002,0.3534902,0.28065914,0.35953367,0.27867365,0.3837979,0.2905803,0.72337663,0.2529128,0.70838875,0.25095344,0.961117,0.2302991,0.872376,0.22535445,0.8890933,0.26688263,1.0459231,0.24832235,1.1865906,0.31588617,1.0933197,0.25948018
5,0.31986645,0.28333065,0.35382053,0.2818026,0.45053437,0.31030554,0.4601766,0.30373192,0.41759977,0.26956326,0.3382756,0.298094,0.33893877,0.2713487,0.36926204,0.27091876,0.71181905,0.24728969,0.67210966,0.24853022,0.9261843,0.22677772,0.84025913,0.22803771,0.85483444,0.24191165,1.0056332,0.2484193,1.1412201,0.31846604,1.0518371,0.28701806
6,0.30814034,0.28055456,0.34636793,0.2776297,0.43925774,0.3281119,0.46676174,0.2923482,0.4014916,0.25902265,0.32532293,0.27435896,0.32930765,0.2712744,0.3541565,0.27551967,0.6743805,0.2391576,0.6604513,0.24836336,0.8762403,0.2307935,0.79883915,0.22705775,0.8197416,0.253193,0.9389784,0.2477274,1.1252931,0.3015833,1.0380309,0.27070892
7,0.31024742,0.2936245,0.34272775,0.2731264,0.44779736,0.31934422,0.44276905,0.29756853,0.3834472,0.26736087,0.31199777,0.27727243,0.31304228,0.27381358,0.33543035,0.27409908,0.66048455,0.24365228,0.63663757,0.24292907,0.84140795,0.22386475,0.73024064,0.20882569,0.78827184,0.23951541,0.89174515,0.27313706,1.0864341,0.2685646,0.99255216,0.26387957
8,0.30117595,0.2769715,0.33985814,0.286054,0.43396083,0.32203218,0.4294548,0.32541692,0.36723527,0.262056,0.3037041,0.27821317,0.2983816,0.27519277,0.33033195,0.27893266,0.63065684,0.23728205,0.6085371,0.2399158,0.79897857,0.22754636,0.7116841,0.20851465,0.7433634,0.24319808,0.83920425,0.23526375,1.0291612,0.27488977,0.94629353,0.24751955
9,0.29651988,0.28363413,0.33138046,0.26881582,0.41607678,0.33012667,0.4218604,0.3134845,0.3634989,0.25722516,0.29244927,0.28022954,0.2853572,0.27015784,0.31843477,0.291717,0.6014633,0.24810512,0.58564955,0.23017804,0.75868815,0.23108234,0.6656939,0.20513137,0.7157307,0.24112235,0.7813721,0.26018867,0.9842796,0.2909423,0.8885893,0.23689252
10,0.29068336,0.2986622,0.31175774,0.27724153,0.4188046,0.3043654,0.40451393,0.4235935,0.347235,0.27707273,0.29165605,0.2801781,0.26928234,0.274819,0.31431037,0.28140888,0.56948704,0.23172294,0.5420697,0.2380667,0.73070747,0.21961012,0.6201492,0.21586832,0.6850572,0.22543348,0.7718619,0.23126154,0.90098894,0.27480596,0.8353431,0.24902643
