,spatial None PL train,spatial None PL val,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
n_iterations,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
t_iterations,258.0,258.0,2485.0,2485.0,2160.0,2160.0,3211.0,3211.0,3150.0,3150.0,3448.0,3448.0,3624.0,3624.0,3621.0,3621.0,3656.0,3656.0,4180.0,4180.0,4382.0,4382.0,4536.0,4536.0,4536.0,4536.0,3802.0,3802.0,4240.0,4240.0,4133.0,4133.0,3624.0,3624.0
budget_usage,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135,0.9995997598559135
sensor_usage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9846153846153847,0.9846153846153847,0.9538461538461539,0.9538461538461539,0.9692307692307692,0.9692307692307692
streamtime_usage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RF_loss,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157,0.38712766766548157
test_loss,0.26193657517433167,0.26193657517433167,0.24380147457122803,0.24380147457122803,0.23538780212402344,0.23538780212402344,0.2798939049243927,0.2798939049243927,0.26396191120147705,0.26396191120147705,0.10748152434825897,0.10748152434825897,0.08668007701635361,0.08668007701635361,0.1021236926317215,0.1021236926317215,0.10042119026184082,0.10042119026184082,0.032149575650691986,0.032149575650691986,0.03553444519639015,0.03553444519639015,0.030691297724843025,0.030691297724843025,0.031573586165905,0.031573586165905,0.03385685384273529,0.03385685384273529,0.0385160855948925,0.0385160855948925,0.03509043529629707,0.03509043529629707,0.030081868171691895,0.030081868171691895
0,0.4429205060005188,0.32959264516830444,-0.14332619309425354,-0.14332619309425354,-0.15173986554145813,-0.15173986554145813,-0.10723376274108887,-0.10723376274108887,-0.12316575646400452,-0.12316575646400452,-0.2796461582183838,-0.2796461582183838,-0.30044758319854736,-0.30044758319854736,-0.2850039601325989,-0.2850039601325989,-0.28670647740364075,-0.28670647740364075,-0.354978084564209,-0.354978084564209,-0.3515932261943817,-0.3515932261943817,-0.3564363718032837,-0.3564363718032837,-0.35555407404899597,-0.35555407404899597,-0.35327082872390747,-0.35327082872390747,-0.34861159324645996,-0.34861159324645996,-0.3520372211933136,-0.3520372211933136,-0.3570457994937897,-0.3570457994937897
1,0.35892269015312195,0.29751139879226685,-0.018135100603103638,-0.018135100603103638,-0.026548773050308228,-0.026548773050308228,0.017957329750061035,0.017957329750061035,0.0020253360271453857,0.0020253360271453857,-0.1544550508260727,-0.1544550508260727,-0.17525649070739746,-0.17525649070739746,-0.15981288254261017,-0.15981288254261017,-0.16151538491249084,-0.16151538491249084,-0.22978699207305908,-0.22978699207305908,-0.2264021337032318,-0.2264021337032318,-0.2312452793121338,-0.2312452793121338,-0.23036298155784607,-0.23036298155784607,-0.22807972133159637,-0.22807972133159637,-0.22342048585414886,-0.22342048585414886,-0.2268461436033249,-0.2268461436033249,-0.23185470700263977,-0.23185470700263977
2,0.320831835269928,0.31305888295173645,1.2936575412750244,0.27874255180358887,1.3087788820266724,0.2783985733985901,1.2587471008300781,0.3085661232471466,1.156098484992981,0.31055787205696106,0.5135857462882996,0.31226038932800293,0.542560338973999,0.3133775293827057,0.6164303421974182,0.3137570321559906,0.5606849789619446,0.3194855749607086,1.1184685230255127,0.31171348690986633,1.2082394361495972,0.30391615629196167,1.0519168376922607,0.3248305022716522,1.2014364004135132,0.3302193284034729,2.050396680831909,0.26263904571533203,1.940403938293457,0.2762998342514038,2.169029951095581,0.29536178708076477,2.032750368118286,0.30254289507865906
