,temporal None PL data,temporal None PL sensors,temporal None PL streamtimes,temporal None PL accuracy,temporal X_st rnd d_c data,temporal X_st rnd d_c sensors,temporal X_st rnd d_c streamtimes,temporal X_st rnd d_c accuracy,temporal X_st min d_c data,temporal X_st min d_c sensors,temporal X_st min d_c streamtimes,temporal X_st min d_c accuracy,temporal X_st max d_c data,temporal X_st max d_c sensors,temporal X_st max d_c streamtimes,temporal X_st max d_c accuracy,temporal X_st avg d_c data,temporal X_st avg d_c sensors,temporal X_st avg d_c streamtimes,temporal X_st avg d_c accuracy,"temporal X_(t,s) rnd d_c data","temporal X_(t,s) rnd d_c sensors","temporal X_(t,s) rnd d_c streamtimes","temporal X_(t,s) rnd d_c accuracy","temporal X_(t,s) min d_c data","temporal X_(t,s) min d_c sensors","temporal X_(t,s) min d_c streamtimes","temporal X_(t,s) min d_c accuracy","temporal X_(t,s) max d_c data","temporal X_(t,s) max d_c sensors","temporal X_(t,s) max d_c streamtimes","temporal X_(t,s) max d_c accuracy","temporal X_(t,s) avg d_c data","temporal X_(t,s) avg d_c sensors","temporal X_(t,s) avg d_c streamtimes","temporal X_(t,s) avg d_c accuracy","temporal Y_hat_(t,s) rnd d_c data","temporal Y_hat_(t,s) rnd d_c sensors","temporal Y_hat_(t,s) rnd d_c streamtimes","temporal Y_hat_(t,s) rnd d_c accuracy","temporal Y_hat_(t,s) min d_c data","temporal Y_hat_(t,s) min d_c sensors","temporal Y_hat_(t,s) min d_c streamtimes","temporal Y_hat_(t,s) min d_c accuracy","temporal Y_hat_(t,s) max d_c data","temporal Y_hat_(t,s) max d_c sensors","temporal Y_hat_(t,s) max d_c streamtimes","temporal Y_hat_(t,s) max d_c accuracy","temporal Y_hat_(t,s) avg d_c data","temporal Y_hat_(t,s) avg d_c sensors","temporal Y_hat_(t,s) avg d_c streamtimes","temporal Y_hat_(t,s) avg d_c accuracy","temporal Y_(t,s) rnd d_c data","temporal Y_(t,s) rnd d_c sensors","temporal Y_(t,s) rnd d_c streamtimes","temporal Y_(t,s) rnd d_c accuracy","temporal Y_(t,s) min d_c data","temporal Y_(t,s) min d_c sensors","temporal Y_(t,s) min d_c streamtimes","temporal Y_(t,s) min d_c accuracy","temporal Y_(t,s) max d_c data","temporal Y_(t,s) max d_c sensors","temporal Y_(t,s) max d_c streamtimes","temporal Y_(t,s) max d_c accuracy","temporal Y_(t,s) avg d_c data","temporal Y_(t,s) avg d_c sensors","temporal Y_(t,s) avg d_c streamtimes","temporal Y_(t,s) avg d_c accuracy"
0,10,0,73,31,10,0,69,41,10,0,71,37,10,0,62,41,10,0,63,38,10,0,62,39,10,0,56,42,10,0,45,37,10,0,49,44,10,0,53,39,10,0,52,39,10,0,42,43,10,0,46,40,10,0,77,36,10,0,74,46,10,0,75,30,10,0,76,38
1,20,0,93,37,20,0,100,46,20,0,100,42,20,0,99,47,20,0,99,44,20,0,91,46,20,0,83,44,20,0,64,46,20,0,78,49,20,0,89,60,20,0,88,60,20,0,83,61,20,0,88,62,20,0,93,57,20,0,94,45,20,0,95,35,20,0,95,53
2,30,0,98,37,30,0,100,51,30,0,100,47,30,0,100,57,30,0,100,59,30,0,98,51,30,0,93,47,30,0,77,51,30,0,92,51,30,0,98,69,30,0,97,68,30,0,97,70,30,0,98,69,30,0,98,64,30,0,99,59,30,0,99,47,30,0,99,58
3,40,0,100,44,40,0,100,49,40,0,100,48,40,0,100,65,40,0,100,64,40,0,99,54,40,0,97,52,40,0,86,53,40,0,97,56,40,0,100,73,40,0,99,74,40,0,100,74,40,0,100,75,40,0,99,69,40,0,100,65,40,0,100,56,40,0,100,64
4,50,0,100,44,50,0,100,56,50,0,100,48,50,0,100,67,50,0,100,67,50,0,100,59,50,0,98,58,50,0,92,59,50,0,98,58,50,0,100,78,50,0,100,79,50,0,100,81,50,0,100,79,50,0,100,74,50,0,100,74,50,0,100,69,50,0,100,73
5,60,0,100,46,60,0,100,56,60,0,100,50,60,0,100,64,60,0,100,67,60,0,100,60,60,0,99,59,60,0,96,62,60,0,99,59,60,0,100,84,60,0,100,83,60,0,100,85,60,0,100,85,60,0,100,80,60,0,100,80,60,0,100,79,60,0,100,80
6,70,0,100,47,70,0,100,63,70,0,100,54,70,0,100,64,70,0,100,67,70,0,100,60,70,0,100,63,70,0,97,65,70,0,100,58,70,0,100,88,70,0,100,87,70,0,100,89,70,0,100,89,70,0,100,84,70,0,100,88,70,0,100,80,70,0,100,85
7,80,0,100,48,80,0,100,63,80,0,100,55,80,0,100,67,80,0,100,66,80,0,100,64,80,0,100,68,80,0,99,67,80,0,100,66,80,0,100,90,80,0,100,90,80,0,100,92,80,0,100,91,80,0,100,89,80,0,100,91,80,0,100,88,80,0,100,89
8,90,0,100,47,90,0,100,66,90,0,100,60,90,0,100,65,90,0,100,66,90,0,100,65,90,0,100,70,90,0,100,68,90,0,100,67,90,0,100,93,90,0,100,92,90,0,100,93,90,0,100,93,90,0,100,92,90,0,100,93,90,0,100,92,90,0,100,92
9,100,0,100,50,100,0,100,69,100,0,100,61,100,0,100,65,100,0,100,67,100,0,100,69,100,0,100,73,100,0,100,72,100,0,100,69,100,0,100,94,100,0,100,94,100,0,100,94,100,0,100,94,100,0,100,94,100,0,100,94,100,0,100,93,100,0,100,94
