,spatio-temporal None PL data,spatio-temporal None PL sensors,spatio-temporal None PL streamtimes,spatio-temporal None PL accuracy,spatio-temporal X_st rnd d_c data,spatio-temporal X_st rnd d_c sensors,spatio-temporal X_st rnd d_c streamtimes,spatio-temporal X_st rnd d_c accuracy,spatio-temporal X_st min d_c data,spatio-temporal X_st min d_c sensors,spatio-temporal X_st min d_c streamtimes,spatio-temporal X_st min d_c accuracy,spatio-temporal X_st max d_c data,spatio-temporal X_st max d_c sensors,spatio-temporal X_st max d_c streamtimes,spatio-temporal X_st max d_c accuracy,spatio-temporal X_st avg d_c data,spatio-temporal X_st avg d_c sensors,spatio-temporal X_st avg d_c streamtimes,spatio-temporal X_st avg d_c accuracy,"spatio-temporal X_(t,s) rnd d_c data","spatio-temporal X_(t,s) rnd d_c sensors","spatio-temporal X_(t,s) rnd d_c streamtimes","spatio-temporal X_(t,s) rnd d_c accuracy","spatio-temporal X_(t,s) min d_c data","spatio-temporal X_(t,s) min d_c sensors","spatio-temporal X_(t,s) min d_c streamtimes","spatio-temporal X_(t,s) min d_c accuracy","spatio-temporal X_(t,s) max d_c data","spatio-temporal X_(t,s) max d_c sensors","spatio-temporal X_(t,s) max d_c streamtimes","spatio-temporal X_(t,s) max d_c accuracy","spatio-temporal X_(t,s) avg d_c data","spatio-temporal X_(t,s) avg d_c sensors","spatio-temporal X_(t,s) avg d_c streamtimes","spatio-temporal X_(t,s) avg d_c accuracy","spatio-temporal Y_hat_(t,s) rnd d_c data","spatio-temporal Y_hat_(t,s) rnd d_c sensors","spatio-temporal Y_hat_(t,s) rnd d_c streamtimes","spatio-temporal Y_hat_(t,s) rnd d_c accuracy","spatio-temporal Y_hat_(t,s) min d_c data","spatio-temporal Y_hat_(t,s) min d_c sensors","spatio-temporal Y_hat_(t,s) min d_c streamtimes","spatio-temporal Y_hat_(t,s) min d_c accuracy","spatio-temporal Y_hat_(t,s) max d_c data","spatio-temporal Y_hat_(t,s) max d_c sensors","spatio-temporal Y_hat_(t,s) max d_c streamtimes","spatio-temporal Y_hat_(t,s) max d_c accuracy","spatio-temporal Y_hat_(t,s) avg d_c data","spatio-temporal Y_hat_(t,s) avg d_c sensors","spatio-temporal Y_hat_(t,s) avg d_c streamtimes","spatio-temporal Y_hat_(t,s) avg d_c accuracy","spatio-temporal Y_(t,s) rnd d_c data","spatio-temporal Y_(t,s) rnd d_c sensors","spatio-temporal Y_(t,s) rnd d_c streamtimes","spatio-temporal Y_(t,s) rnd d_c accuracy","spatio-temporal Y_(t,s) min d_c data","spatio-temporal Y_(t,s) min d_c sensors","spatio-temporal Y_(t,s) min d_c streamtimes","spatio-temporal Y_(t,s) min d_c accuracy","spatio-temporal Y_(t,s) max d_c data","spatio-temporal Y_(t,s) max d_c sensors","spatio-temporal Y_(t,s) max d_c streamtimes","spatio-temporal Y_(t,s) max d_c accuracy","spatio-temporal Y_(t,s) avg d_c data","spatio-temporal Y_(t,s) avg d_c sensors","spatio-temporal Y_(t,s) avg d_c streamtimes","spatio-temporal Y_(t,s) avg d_c accuracy"
0,10,100,100,32,10,100,100,34,10,100,100,39,10,53,100,20,10,52,100,23,10,100,99,39,10,100,96,31,10,86,89,31,10,97,95,32,10,99,92,21,10,99,90,25,10,98,82,28,10,99,84,33,10,77,100,41,10,62,100,33,10,44,99,5,10,51,100,16
1,20,100,100,44,19,100,100,38,16,100,100,42,15,59,100,20,14,59,100,26,19,100,100,50,19,100,100,47,19,98,98,43,19,100,100,47,19,100,100,42,19,100,100,42,19,99,100,44,19,100,100,49,15,87,100,45,14,68,100,39,13,49,100,16,14,57,100,23
2,29,100,100,43,27,100,100,44,19,100,100,40,16,64,100,22,16,61,100,25,28,100,100,56,28,100,100,51,26,100,100,53,27,100,100,56,26,100,100,61,26,100,100,55,25,100,100,63,25,100,100,63,20,91,100,49,17,71,100,40,16,50,100,25,17,62,100,30
3,37,100,100,44,35,100,100,45,21,100,100,42,18,64,100,27,18,63,100,27,36,100,100,58,36,100,100,57,33,100,100,56,34,100,100,58,31,100,100,67,31,100,100,68,29,100,100,69,29,100,100,70,23,93,100,55,19,73,100,45,17,52,100,25,19,64,100,27
4,45,100,100,48,42,100,100,47,23,100,100,43,18,65,100,26,19,65,100,27,43,100,100,62,43,100,100,57,39,100,100,59,40,100,100,60,34,100,100,73,34,100,100,73,31,100,100,71,32,100,100,71,26,94,100,59,21,75,100,42,18,54,100,24,20,64,100,27
5,53,100,100,46,49,100,100,49,24,100,100,45,19,67,100,29,19,65,100,26,50,100,100,64,49,100,100,58,43,100,100,64,46,100,100,61,37,100,100,74,37,100,100,73,33,100,100,72,34,100,100,74,29,95,100,57,22,77,100,47,20,55,100,29,22,67,100,38
6,60,100,100,50,55,100,100,49,25,100,100,47,20,68,100,28,20,66,100,27,56,100,100,66,55,100,100,62,48,100,100,65,50,100,100,64,39,100,100,76,39,100,100,77,34,100,100,72,36,100,100,75,32,96,100,60,24,79,100,49,20,57,100,21,23,68,100,37
7,67,100,100,48,61,100,100,50,26,100,100,47,21,68,100,29,21,67,100,26,62,100,100,66,61,100,100,65,52,100,100,65,55,100,100,65,41,100,100,75,41,100,100,77,35,100,100,73,37,100,100,74,34,97,100,61,25,79,100,41,21,58,100,24,24,68,100,37
8,74,100,100,44,67,100,100,49,27,100,100,48,21,70,100,29,21,68,100,25,67,100,100,69,66,100,100,65,55,100,100,66,59,100,100,67,43,100,100,78,43,100,100,77,36,100,100,71,38,100,100,75,36,97,100,64,26,80,100,45,22,58,100,27,25,69,100,42
9,80,100,100,52,72,100,100,52,28,100,100,46,22,70,100,28,22,68,100,24,72,100,100,69,71,100,100,65,58,100,100,67,62,100,100,69,44,100,100,77,45,100,100,79,37,100,100,72,39,100,100,77,38,98,100,62,27,80,100,48,23,58,100,26,26,69,100,38
