,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
test_loss,0.21961968,0.21961968,0.2757188,0.2757188,0.3120417,0.3120417,0.37426484,0.37426484,0.14659193,0.14659193,0.16316639,0.16316639,0.16405305,0.16405305,0.16233677,0.16233677,0.09194336,0.09194336,0.08068365,0.08068365,0.08359078,0.08359078,0.085910775,0.085910775,0.11446011,0.11446011,0.16129686,0.16129686,0.24945506,0.24945506,0.16681255,0.16681255
0,0.70086026,0.28954107,0.34080803,0.3526182,0.63727665,0.32436725,0.6961344,0.3059258,0.64382726,0.28400308,0.6813277,0.36945933,0.6678385,0.31102842,0.767027,0.3227814,0.97013843,0.26108536,1.0054984,0.36394075,1.3254286,0.2769419,1.0298098,0.2724254,1.0088986,0.29779693,1.3796798,0.2771364,1.7121395,0.24373847,1.6532155,0.2713106
1,0.5054939,0.26043555,0.27609432,0.3133257,0.46266603,0.31142893,0.5691505,0.303167,0.6184093,0.26821536,0.7767303,0.34243152,0.55965316,0.2941841,0.61992276,0.2555161,0.6740725,0.29735658,0.96816415,0.23994383,1.1242805,0.22465886,0.8902181,0.23122881,0.82058746,0.26495108,1.0890117,0.2456021,1.2174956,0.26137596,1.2591243,0.24627672
2,0.4295841,0.49827772,0.24392968,0.29538622,0.41101635,0.3445236,0.5006097,0.30114895,0.47960466,0.27050036,0.6461522,0.2797744,0.46074206,0.29692727,0.57887226,0.2692003,0.6035736,0.24619533,0.78242797,0.23905773,0.9414752,0.21065047,0.7889882,0.23145708,0.7070768,0.28360987,1.0016592,0.2678265,1.060842,0.2577494,1.0971123,0.23995076
3,0.39927852,0.25402284,0.22190313,0.29152587,0.372473,0.3008733,0.4588465,0.311996,0.36696216,0.26855126,0.5480237,0.32409286,0.44806358,0.32720128,0.5539572,0.23567194,0.50692886,0.23194349,0.66661614,0.28646135,0.8045013,0.22803141,0.7413783,0.2440202,0.66377145,0.27332988,0.83556736,0.24561463,0.9880833,0.25056985,0.986875,0.22804272
4,0.30103144,0.34652457,0.20966671,0.36334455,0.31653205,0.3119161,0.49571514,0.32827723,0.4594691,0.27455097,0.5402574,0.24902964,0.43828282,0.37386075,0.42473537,0.26679304,0.49387673,0.23295003,0.57581645,0.2365055,0.7951591,0.22368486,0.70486283,0.2188464,0.59920007,0.32405436,0.7836299,0.30248743,0.87857115,0.28766423,0.94376796,0.23899278
5,0.29020712,0.24521531,0.23825315,0.28206328,0.33359814,0.2871432,0.35604608,0.30238575,0.31816486,0.2610125,0.39596558,0.30967662,0.4669718,0.26826078,0.43251693,0.25466818,0.43403947,0.2500182,0.5335116,0.2593622,0.6699276,0.22111759,0.64808196,0.22752494,0.5384772,0.23932509,0.8435199,0.2937502,0.8406847,0.25429994,0.88457876,0.26247653
6,0.28712422,0.3365451,0.18567663,0.27630755,0.3230153,0.29761168,0.37618008,0.29693446,0.32303646,0.28173792,0.4393516,0.24095292,0.39673287,0.29043055,0.3180519,0.24814701,0.387218,0.22734615,0.51678264,0.2403023,0.667987,0.209585,0.5608131,0.22936787,0.504577,0.2643849,0.7630716,0.24327578,0.7975659,0.30450684,0.8317486,0.27472332
7,0.24169175,0.26050103,0.19639465,0.29256845,0.2786972,0.32390642,0.36090487,0.3014764,0.24414499,0.26585415,0.34570846,0.3912263,0.34057537,0.26742288,0.30623275,0.2568706,0.3647498,0.34401372,0.4486473,0.23714253,0.64310586,0.19573164,0.5534562,0.24406323,0.4573485,0.25442556,0.6425706,0.2632705,0.75310874,0.2962681,0.7360368,0.2660938
8,0.20828122,0.3327645,0.1577858,0.3061397,0.2875608,0.30044326,0.2825204,0.32124105,0.2567738,0.33945763,0.33610356,0.23841213,0.3272194,0.26519912,0.31039834,0.24578238,0.3483637,0.23592518,0.41198033,0.24564981,0.5727322,0.20645215,0.5561924,0.22249842,0.41840687,0.3207539,0.66417027,0.39436975,0.7022263,0.30118254,0.6600086,0.24678475
