,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val"
test_loss,0.22476806,0.22476806,0.24676886,0.24676886,0.36357322,0.36357322,0.34691563,0.34691563,0.17845705,0.17845705,0.18804067,0.18804067,0.2223034,0.2223034,0.18260154,0.18260154,0.12418123,0.12418123,0.11116265,0.11116265,0.11644655,0.11644655,0.10789276,0.10789276,0.15494402,0.15494402,0.30287516,0.30287516,0.61376303,0.61376303,0.36601484,0.36601484
0,0.37340823,0.34081998,0.40605944,0.33857834,0.35436878,0.39872512,0.34432444,0.4002481,0.49059236,0.36917564,0.44806033,0.36056712,0.40325883,0.38648313,0.49129003,0.3274335,0.98989624,0.32558906,0.9673651,0.34290954,1.154626,0.34916553,1.1585488,0.37963814,1.1836355,0.7266339,1.3768657,0.46529263,1.5119463,0.4398486,1.4088374,0.53937906
1,0.30000615,0.30729005,0.314222,0.3063639,0.2549183,0.3775031,0.2539862,0.38064224,0.4075027,0.29573753,0.37072793,0.29722863,0.32754067,0.29976472,0.409426,0.29949337,0.8027917,0.2684477,0.81238896,0.2625321,0.9499559,0.2840049,1.0070221,0.3077223,1.0445889,0.39634168,1.1199447,0.3720089,1.2940227,0.46385705,1.2250361,0.49595913
2,0.27700603,0.28752217,0.29653564,0.30127606,0.23802939,0.37143755,0.23272832,0.37859425,0.3754481,0.29185307,0.34047872,0.28204745,0.2944469,0.29000968,0.3796027,0.29130277,0.6941962,0.2553291,0.7160958,0.24291576,0.83172077,0.24941939,0.86211365,0.25204036,0.90517086,0.26277742,0.9668123,0.3157583,1.1394056,0.47482166,1.0704765,0.5438918
3,0.25857297,0.27825993,0.28408152,0.28956327,0.2282137,0.36720514,0.21817333,0.36642972,0.35016212,0.2698827,0.32227257,0.2737,0.2810831,0.2937823,0.3550933,0.26579088,0.62992847,0.23832262,0.6429946,0.22856995,0.7566137,0.2529203,0.7746549,0.24364072,0.79690725,0.27647293,0.87162936,0.47173178,1.0341489,0.42763734,0.96167904,0.43162116
4,0.2467654,0.29263958,0.2663363,0.28082597,0.21481253,0.36486888,0.20806766,0.35926756,0.32952684,0.26457047,0.30710292,0.28529087,0.26726234,0.26676196,0.33610818,0.25953794,0.57913786,0.21998277,0.5848959,0.23064366,0.6903635,0.23752369,0.72021854,0.22432369,0.75069255,0.2592262,0.8015586,0.35927358,0.9628019,0.41803774,0.89696085,0.4921697
5,0.2563893,0.26770908,0.24294521,0.27129796,0.1952495,0.36002246,0.19228166,0.35944673,0.31030557,0.25791734,0.29319778,0.2545191,0.25539586,0.26837313,0.3167003,0.36280328,0.5582831,0.21880771,0.55394745,0.23564576,0.6509117,0.21925384,0.6761125,0.21082425,0.6949911,0.29490405,0.7442073,0.31308365,0.9033115,0.5001262,0.8400943,0.3622493
6,0.21712108,0.2829688,0.2275369,0.2749229,0.18930802,0.36504152,0.1822757,0.35988915,0.2954009,0.25951958,0.2833337,0.26522532,0.2515716,0.29623145,0.30522662,0.25030506,0.5166322,0.21339786,0.53118944,0.21602446,0.6226659,0.22219178,0.63405687,0.21686661,0.67561823,0.26524252,0.70324624,0.28331396,0.8619416,0.54129595,0.8099703,0.41524905
7,0.2160991,0.26215276,0.21203583,0.2532974,0.1763692,0.35087672,0.17559627,0.34951466,0.2779425,0.236299,0.27077535,0.26170275,0.23850653,0.25852722,0.28655767,0.24444127,0.50010145,0.2148904,0.49715343,0.2197028,0.5891748,0.21185604,0.61220646,0.21160889,0.6365213,0.24426307,0.67438364,0.26849127,0.83137953,0.39578974,0.76885754,0.5020579
8,0.2046792,0.27229506,0.20026723,0.2704731,0.16441752,0.3528442,0.16151991,0.34180966,0.2687412,0.24100809,0.26005074,0.24915919,0.2345023,0.25713015,0.27218673,0.24348798,0.48109454,0.20776722,0.48315686,0.21016899,0.56031334,0.21613711,0.5877936,0.21666795,0.6228172,0.25379667,0.6453856,0.30506265,0.80725384,0.5030505,0.7337137,0.39359862
9,0.19599536,0.2707825,0.1905061,0.25512907,0.16085342,0.34719905,0.15839316,0.344977,0.25410542,0.23878333,0.2539088,0.2597858,0.22409782,0.26167846,0.26435462,0.2636857,0.46034068,0.21263401,0.46791357,0.20387365,0.5360013,0.2235813,0.56409734,0.20711912,0.5941874,0.22730188,0.61929744,0.3009308,0.77005357,0.52511084,0.7078714,0.38530853
10,0.18998583,0.2503124,0.18025976,0.2579387,0.15142271,0.3454788,0.15133749,0.36046892,0.24231791,0.2441326,0.24209823,0.24097908,0.21368395,0.2510598,0.25653303,0.2617621,0.4420185,0.2036951,0.44237578,0.20229281,0.51957697,0.20748016,0.54744345,0.20659685,0.57017154,0.2617017,0.5958016,0.28888947,0.7481187,0.42483768,0.68164515,0.48817465
11,0.17878005,0.2655357,0.18029322,0.26054713,0.15095687,0.34457248,0.14830805,0.3504208,0.24139892,0.23716164,0.23829353,0.23753624,0.20187692,0.25368464,0.24790108,0.2344407,0.4304798,0.1999717,0.43384624,0.20051447,0.50274533,0.20337558,0.5270999,0.20772126,0.5575488,0.22329284,0.57295865,0.29107964,0.72408026,0.4621204,0.6631895,0.3866294
12,0.17381842,0.25563303,0.170396,0.27065185,0.14269277,0.3417985,0.14210261,0.34353015,0.2295727,0.24030364,0.22722104,0.24686903,0.19555461,0.25617287,0.23656717,0.24398518,0.41587836,0.19920458,0.4111492,0.19549286,0.48511967,0.20427436,0.50530505,0.19627456,0.54434735,0.23126425,0.558268,0.2753986,0.710223,0.41703272,0.6491845,0.47146624
13,0.16914976,0.26326516,0.16507792,0.2476976,0.14272337,0.34710845,0.13644682,0.34497812,0.22289023,0.23320948,0.2258756,0.24373147,0.19396609,0.24744073,0.22450301,0.23884012,0.39638633,0.20645505,0.40952626,0.19302666,0.46932355,0.21096678,0.4883934,0.19471657,0.5200797,0.2529358,0.5389589,0.3059048,0.68818915,0.51998883,0.62701946,0.47346935
14,0.16205703,0.2586927,0.15674141,0.26157334,0.13675645,0.34407103,0.1333984,0.34790233,0.21398756,0.23847616,0.20903331,0.24631205,0.18165834,0.24741185,0.22046748,0.23103464,0.38888937,0.20406687,0.3933707,0.2047421,0.45588815,0.21172582,0.47064438,0.19901071,0.50295025,0.24316338,0.5198568,0.30830583,0.66873586,0.42688406,0.6028998,0.46342742
15,0.15711717,0.2584888,0.15396266,0.25449184,0.13355792,0.35195458,0.12976368,0.3495339,0.20723969,0.23306596,0.21275285,0.24430178,0.18072113,0.254567,0.21278512,0.24685378,0.37471855,0.20061786,0.38010046,0.2103673,0.44044915,0.20183931,0.4608904,0.20322956,0.4927811,0.2304664,0.5070644,0.30707356,0.6476467,0.5136204,0.5908136,0.4767522
16,0.15391365,0.2657641,0.14869612,0.273922,0.12838748,0.35930207,0.124948,0.34315485,0.19967262,0.24189872,0.19978307,0.24767534,0.17524447,0.25775445,0.20583682,0.23718002,0.3665761,0.208641,0.37212056,0.19727306,0.42455557,0.19661742,0.44607243,0.20794536,0.48025304,0.23977634,0.48506978,0.27015966,0.6344589,0.45747387,0.7105441,0.44669116
17,0.1480348,0.27530515,0.14763826,0.25470936,0.12807977,0.34979907,0.12126953,0.3517027,0.19214344,0.24723536,0.19481589,0.24730247,0.17261028,0.2500267,0.20047939,0.23488441,0.35422432,0.20259959,0.35947415,0.19579828,0.41533267,0.20288414,0.4322053,0.20363808,0.4708486,0.25467756,0.46810457,0.30423942,0.6173387,0.43878132,0.6619828,0.41562912
18,0.14536962,0.26584858,0.1437449,0.25637564,0.12397922,0.34377453,0.120634384,0.34377372,0.1892573,0.2411164,0.18801612,0.2551738,0.16423744,0.24482784,0.19313265,0.2384511,0.34719557,0.20650604,0.3499679,0.19591802,0.40495265,0.20357768,0.4225151,0.19480325,0.45286405,0.25077474,0.61948997,0.2723677,0.76148605,0.3588381,0.6283132,0.39411756
19,0.1417318,0.26175517,0.13463509,0.26002356,0.12113154,0.34761325,0.16686513,0.33916664,0.17742886,0.24341941,0.1880683,0.2518603,0.15860984,0.2544197,0.19137235,0.24368557,0.33585706,0.20830944,0.3397424,0.20030026,0.3868271,0.20379248,0.4091232,0.21303125,0.4421867,0.24519145,0.5577281,0.28919506,0.7040943,0.4751407,0.606509,0.41639876
20,0.1370845,0.26134467,0.13166353,0.2601644,0.11986912,0.3523362,0.14797015,0.34899405,0.1752522,0.23874353,0.1797148,0.2520926,0.15075824,0.25351045,0.18326679,0.23544306,0.3296232,0.20189594,0.33392406,0.19717029,0.37811905,0.21582183,0.3961208,0.21131943,0.42372704,0.24479629,0.5278046,0.27821615,0.675224,0.42551023,0.5845245,0.37954387
21,0.23492493,0.23816824,0.13190007,0.25858662,0.1157721,0.3525251,0.13872117,0.34353897,0.16986899,0.24642004,0.17294168,0.2496664,0.14673774,0.25374106,0.17619385,0.23665477,0.31319654,0.20719104,0.3240659,0.19660817,0.36796921,0.21067789,0.38090795,0.21317594,0.42029512,0.2493165,0.5010993,0.27083412,0.65734893,0.43364403,0.56596804,0.40155816
22,0.20295517,0.23999286,0.1242886,0.25985563,0.11119025,0.36060935,0.1351323,0.34530994,0.16162266,0.2522198,0.26120242,0.22921814,0.14016774,0.26520723,0.16639113,0.24714535,0.3025903,0.20730159,0.30998197,0.19357897,0.35660228,0.21397279,0.3720037,0.20131902,0.56771356,0.1856314,0.47817224,0.28970137,0.6297458,0.44300225,0.54931545,0.3677797
23,0.19208588,0.23300786,0.12293704,0.26924112,0.16169645,0.34279826,0.12925299,0.33613637,0.15761583,0.23853983,0.2406709,0.22661552,0.1352946,0.2506831,0.1656685,0.24229245,0.49408597,0.18049939,0.30796844,0.19986959,0.34686938,0.20960963,0.3590194,0.21429181,0.5104363,0.19992393,0.4591374,0.25412047,0.6009948,0.45270056,0.5213922,0.41064838
24,0.18560763,0.22936709,0.19586919,0.23933458,0.14471868,0.35224408,0.12408907,0.33754832,0.15406936,0.24494319,0.21789311,0.22373256,0.13251223,0.25468332,0.15848146,0.24528754,0.436308,0.17363565,0.49964905,0.17255181,0.33343056,0.20653345,0.55255646,0.16816382,0.47589785,0.19311935,0.44424,0.30361772,0.58656716,0.42619708,0.51330334,0.35838154
25,0.17488793,0.23180978,0.1732633,0.23997825,0.13285993,0.33758637,0.121711425,0.33976355,0.14608191,0.25160766,0.20556277,0.22687058,0.1290717,0.25335795,0.28270662,0.22893567,0.40843245,0.17370313,0.4404261,0.17025268,0.3319292,0.20885873,0.47571483,0.17553252,0.45368794,0.18899652,0.42512512,0.27451023,0.5652343,0.44044137,0.4995968,0.38185737
26,0.16584313,0.2626423,0.16056843,0.23728016,0.12798984,0.33692607,0.11702272,0.34943178,0.2973653,0.22293516,0.197565,0.22503649,0.12699416,0.25823137,0.24991219,0.21777196,0.38377443,0.1753152,0.4106773,0.17218271,0.3182493,0.21663816,0.44321474,0.16067317,0.43005785,0.19496825,0.40946165,0.31240228,0.5519122,0.33792788,0.48358428,0.36950836
27,0.16235532,0.23216656,0.1532933,0.2400155,0.12203122,0.34560367,0.114695385,0.34480488,0.25746614,0.22285195,0.1968016,0.22718553,0.12340251,0.2657519,0.23166819,0.2229162,0.3675285,0.17021418,0.38785255,0.16813642,0.568548,0.17654204,0.42397696,0.15966222,0.41352606,0.20741068,0.3970984,0.3333561,0.5397043,0.4265216,0.47265917,0.36930335
28,0.15733396,0.23505737,0.1437548,0.24314168,0.121005505,0.3440134,0.11377333,0.3578291,0.23889682,0.22327435,0.18314475,0.22582349,0.11658833,0.26803356,0.21517463,0.21213508,0.34932107,0.17699136,0.3630692,0.16794445,0.4976056,0.17410418,0.40460125,0.16784199,0.40095684,0.20420842,0.38580075,0.28818768,0.5243335,0.44361976,0.45786056,0.4434026
29,0.15278377,0.22964586,0.1425967,0.24689153,0.11437957,0.33756134,0.10903996,0.34352416,0.22352406,0.21488677,0.1745056,0.229666,0.23432177,0.24278562,0.20784022,0.22269763,0.3373472,0.17303278,0.3495067,0.17091967,0.46128678,0.17389537,0.38630038,0.16633452,0.38721722,0.20162545,0.3751303,0.30050296,0.5063169,0.442747,0.44756335,0.38172728
30,0.14643855,0.24154742,0.13190249,0.24170081,0.11181428,0.3437524,0.108558744,0.34568977,0.21324214,0.22242437,0.1718886,0.22378848,0.20954497,0.23420699,0.2305396,0.22005598,0.32406366,0.16933943,0.3366816,0.16592547,0.43112615,0.17300615,0.37410378,0.16221924,0.37032562,0.19545436,0.359853,0.28401,0.49058154,0.4946102,0.4372667,0.3660589
31,0.14100026,0.23704125,0.12918153,0.25732574,0.10965016,0.34649143,0.104639225,0.3468463,0.20080991,0.21406801,0.16537493,0.22786692,0.18539603,0.23519528,0.1856731,0.22283271,0.31255352,0.18352528,0.3258403,0.17414735,0.4140461,0.17591251,0.35970163,0.16280599,0.36112323,0.20197019,0.34838992,0.30642122,0.48210326,0.45089552,0.42030326,0.37132576
32,0.13823497,0.24824579,0.12478055,0.24370283,0.10455528,0.3476161,0.10236618,0.34675336,0.19240367,0.21295716,0.16190319,0.22687218,0.17188606,0.23281813,0.17968981,0.21607177,0.30357763,0.17577048,0.31529814,0.17125794,0.39000577,0.17972422,0.3452694,0.16903748,0.347706,0.19545458,0.34037012,0.3032345,0.4722206,0.38090527,0.4081897,0.40732512
33,0.13656335,0.24859415,0.11933423,0.25362456,0.105732255,0.33345336,0.09957005,0.34717274,0.18749644,0.21214594,0.15431555,0.22605193,0.1612197,0.23176819,0.17609724,0.2242979,0.29134673,0.17652833,0.29931426,0.17917483,0.37742534,0.17146114,0.33734497,0.16670135,0.5117408,0.18382317,0.32999703,0.29759547,0.45232722,0.48207167,0.40037328,0.41240633
