,spatial None PL train,spatial None PL val,spatial X_st rnd d_c train,spatial X_st rnd d_c val,spatial X_st min d_c train,spatial X_st min d_c val,spatial X_st max d_c train,spatial X_st max d_c val,spatial X_st avg d_c train,spatial X_st avg d_c val,"spatial X_(t,s) rnd d_c train","spatial X_(t,s) rnd d_c val","spatial X_(t,s) min d_c train","spatial X_(t,s) min d_c val","spatial X_(t,s) max d_c train","spatial X_(t,s) max d_c val","spatial X_(t,s) avg d_c train","spatial X_(t,s) avg d_c val","spatial Y_hat_(t,s) rnd d_c train","spatial Y_hat_(t,s) rnd d_c val","spatial Y_hat_(t,s) min d_c train","spatial Y_hat_(t,s) min d_c val","spatial Y_hat_(t,s) max d_c train","spatial Y_hat_(t,s) max d_c val","spatial Y_hat_(t,s) avg d_c train","spatial Y_hat_(t,s) avg d_c val","spatial Y_(t,s) rnd d_c train","spatial Y_(t,s) rnd d_c val","spatial Y_(t,s) min d_c train","spatial Y_(t,s) min d_c val","spatial Y_(t,s) max d_c train","spatial Y_(t,s) max d_c val","spatial Y_(t,s) avg d_c train","spatial Y_(t,s) avg d_c val"
t_iter_avg,23.7,23.7,92.7,92.7,93,93,100.2,100.2,97.6,97.6,117.8,117.8,120.3,120.3,118.5,118.5,121.5,121.5,137.9,137.9,139.4,139.4,135.3,135.3,130.2,130.2,127.8,127.8,135.1,135.1,129.8,129.8,132.8,132.8
budget_usage,0.803090507726269,0.803090507726269,0.48579838116262,0.48579838116262,0.43149374540103,0.43149374540103,0.350699043414275,0.350699043414275,0.348344370860927,0.348344370860927,0.75952906548933,0.75952906548933,0.69860191317145,0.69860191317145,0.565710080941869,0.565710080941869,0.66504782928624,0.66504782928624,0.456806475349522,0.456806475349522,0.455923473142016,0.455923473142016,0.392788815305372,0.392788815305372,0.414716703458425,0.414716703458425,0.380132450331126,0.380132450331126,0.246210448859455,0.246210448859455,0.21486387049301,0.21486387049301,0.232671081677704,0.232671081677704
sensor_usage,1,1,1,1,1,1,0.507692307692308,0.507692307692308,0.476923076923077,0.476923076923077,1,1,1,1,1,1,1,1,1,1,1,1,0.984615384615385,0.984615384615385,0.953846153846154,0.953846153846154,0.984615384615385,0.984615384615385,0.769230769230769,0.769230769230769,0.723076923076923,0.723076923076923,0.738461538461539,0.738461538461539
streamtime_usage,0.975,0.975,1,1,1,1,1,1,1,1,1,1,0.975,0.975,0.975,0.975,1,1,1,1,1,1,1,1,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975,0.975
test_loss,0.67362136,0.67362136,0.269629538059235,0.269629538059235,0.427358895540237,0.427358895540237,1.86304461956024,1.86304461956024,1.69752514362335,1.69752514362335,0.337583661079407,0.337583661079407,0.249175980687141,0.249175980687141,0.388077914714813,0.388077914714813,0.283116042613983,0.283116042613983,0.117872759699821,0.117872759699821,0.131210535764694,0.131210535764694,0.144594922661781,0.144594922661781,0.146151706576347,0.146151706576347,0.352779507637024,0.352779507637024,0.438901364803314,0.438901364803314,0.664143145084381,0.664143145084381,0.590011537075043,0.590011537075043
RF_loss,1.4619434,1.4619434,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523,1.46194338798523
cand_subsample_rate,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
points_percluster_rate,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1.71210062503815,1.13522636890411,6.08474254608154,0.90091735124588,4.04708766937256,0.780613005161285,10.1409215927124,0.925858795642853,4.70011615753174,0.845452785491943,1.7985246181488,0.864536762237549,1.96385443210602,0.876666784286499,2.08832907676697,0.945020914077759,2.24254560470581,0.846768319606781,0.834733664989471,1.22784960269928,1.32289803028107,1.05474555492401,0.958876311779022,1.34032654762268,1.30587363243103,1.08910250663757,9.60756969451904,0.914554536342621,9.85136222839356,0.815312623977661,10.3632907867432,1.01313447952271,10.2631464004517,0.955946624279022
1,1.14180445671082,0.81203693151474,4.37290477752686,0.69308739900589,2.3846423625946,0.697166860103607,7.89154148101807,0.752283155918121,3.24414348602295,0.832845985889435,1.14909219741821,1.0238528251648,1.34685349464417,0.845536351203918,1.3762241601944,0.893906712532043,1.37893605232239,0.870611429214477,0.534878611564636,2.62705945968628,0.789296746253967,0.925342977046967,0.747749924659729,3.62964510917664,1.04019260406494,2.36201047897339,5.50832462310791,0.747871220111847,5.60555219650269,0.900823533535004,5.57157373428345,0.788495779037476,5.99404382705689,0.845582664012909
