,spatial None PL data,spatial None PL sensors,spatial None PL streamtimes,spatial None PL accuracy,spatial X_st rnd d_c data,spatial X_st rnd d_c sensors,spatial X_st rnd d_c streamtimes,spatial X_st rnd d_c accuracy,spatial X_st min d_c data,spatial X_st min d_c sensors,spatial X_st min d_c streamtimes,spatial X_st min d_c accuracy,spatial X_st max d_c data,spatial X_st max d_c sensors,spatial X_st max d_c streamtimes,spatial X_st max d_c accuracy,spatial X_st avg d_c data,spatial X_st avg d_c sensors,spatial X_st avg d_c streamtimes,spatial X_st avg d_c accuracy,"spatial X_(t,s) rnd d_c data","spatial X_(t,s) rnd d_c sensors","spatial X_(t,s) rnd d_c streamtimes","spatial X_(t,s) rnd d_c accuracy","spatial X_(t,s) min d_c data","spatial X_(t,s) min d_c sensors","spatial X_(t,s) min d_c streamtimes","spatial X_(t,s) min d_c accuracy","spatial X_(t,s) max d_c data","spatial X_(t,s) max d_c sensors","spatial X_(t,s) max d_c streamtimes","spatial X_(t,s) max d_c accuracy","spatial X_(t,s) avg d_c data","spatial X_(t,s) avg d_c sensors","spatial X_(t,s) avg d_c streamtimes","spatial X_(t,s) avg d_c accuracy","spatial Y_hat_(t,s) rnd d_c data","spatial Y_hat_(t,s) rnd d_c sensors","spatial Y_hat_(t,s) rnd d_c streamtimes","spatial Y_hat_(t,s) rnd d_c accuracy","spatial Y_hat_(t,s) min d_c data","spatial Y_hat_(t,s) min d_c sensors","spatial Y_hat_(t,s) min d_c streamtimes","spatial Y_hat_(t,s) min d_c accuracy","spatial Y_hat_(t,s) max d_c data","spatial Y_hat_(t,s) max d_c sensors","spatial Y_hat_(t,s) max d_c streamtimes","spatial Y_hat_(t,s) max d_c accuracy","spatial Y_hat_(t,s) avg d_c data","spatial Y_hat_(t,s) avg d_c sensors","spatial Y_hat_(t,s) avg d_c streamtimes","spatial Y_hat_(t,s) avg d_c accuracy","spatial Y_(t,s) rnd d_c data","spatial Y_(t,s) rnd d_c sensors","spatial Y_(t,s) rnd d_c streamtimes","spatial Y_(t,s) rnd d_c accuracy","spatial Y_(t,s) min d_c data","spatial Y_(t,s) min d_c sensors","spatial Y_(t,s) min d_c streamtimes","spatial Y_(t,s) min d_c accuracy","spatial Y_(t,s) max d_c data","spatial Y_(t,s) max d_c sensors","spatial Y_(t,s) max d_c streamtimes","spatial Y_(t,s) max d_c accuracy","spatial Y_(t,s) avg d_c data","spatial Y_(t,s) avg d_c sensors","spatial Y_(t,s) avg d_c streamtimes","spatial Y_(t,s) avg d_c accuracy"
0,10,100,90,45,10,98,100,53,10,91,100,56,10,48,100,42,10,48,100,45,10,100,95,45,10,100,80,40,10,100,76,44,10,98,93,47,10,85,83,0,10,89,90,0,10,66,83,0,10,69,80,0,10,86,98,47,10,62,93,44,10,60,93,44,10,62,95,47
1,20,100,98,42,20,100,100,62,20,97,100,64,20,72,100,58,20,71,100,53,20,100,98,50,20,100,95,45,20,100,83,50,20,100,98,47,20,95,95,51,20,92,100,0,20,77,98,0,20,75,98,21,20,89,98,62,20,72,98,58,20,69,98,53,20,75,98,52
2,30,100,100,43,30,100,100,62,30,100,100,63,30,94,100,56,30,95,100,61,30,100,98,52,30,100,95,55,30,100,90,56,30,100,100,49,30,98,98,67,30,94,100,0,30,83,100,66,30,88,100,64,30,97,100,70,30,80,100,71,30,74,100,64,30,82,100,63
3,40,100,100,45,40,100,100,67,40,100,100,64,40,97,100,61,40,100,100,65,40,100,98,52,40,100,98,52,40,100,95,54,40,100,100,57,40,100,100,77,40,95,100,0,40,86,100,78,40,92,100,78,40,98,100,74,40,85,100,76,40,78,100,69,40,83,100,72
4,50,100,100,45,50,100,100,67,50,100,100,67,50,98,100,64,50,100,100,65,50,100,98,56,50,100,98,60,50,100,100,56,50,100,100,57,50,100,100,83,50,98,100,18,50,92,100,82,50,94,100,80,50,98,100,77,50,86,100,78,50,82,100,74,50,86,100,78
5,60,100,100,50,60,100,100,69,60,100,100,67,60,100,100,63,60,100,100,66,60,100,98,57,60,100,98,55,60,100,100,51,60,100,100,57,60,100,100,85,60,98,100,68,60,95,100,85,60,95,100,84,60,98,100,85,60,86,100,83,60,85,100,76,60,89,100,82
6,70,100,100,49,70,100,100,71,70,100,100,68,70,100,100,67,70,100,100,66,70,100,100,57,70,100,98,63,70,100,100,36,70,100,100,58,70,100,100,87,70,100,100,80,70,95,100,87,70,98,100,86,70,100,100,87,70,89,100,84,70,91,100,83,70,92,100,82
7,80,100,100,51,80,100,100,69,80,100,100,70,80,100,100,68,80,100,100,68,80,100,100,60,80,100,98,65,80,100,100,58,80,100,100,64,80,100,100,89,80,100,100,85,80,98,100,88,80,98,100,88,80,100,100,89,80,94,100,86,80,94,100,86,80,94,100,86
8,90,100,100,52,90,100,100,69,90,100,100,70,90,100,100,68,90,100,100,69,90,100,100,62,90,100,98,68,90,100,100,60,90,100,100,61,90,100,100,90,90,100,100,88,90,100,100,90,90,100,100,89,90,100,100,90,90,94,100,88,90,95,100,88,90,98,100,87
9,100,100,100,54,100,100,100,69,100,100,100,70,100,100,100,69,100,100,100,68,100,100,100,66,100,100,98,66,100,100,100,58,100,100,100,63,100,100,100,91,100,100,100,90,100,100,100,91,100,100,100,91,100,100,100,91,100,94,100,88,100,98,100,90,100,98,100,90
