,spatio-temporal None PL data,spatio-temporal None PL sensors,spatio-temporal None PL streamtimes,spatio-temporal None PL accuracy,spatio-temporal X_st rnd d_c data,spatio-temporal X_st rnd d_c sensors,spatio-temporal X_st rnd d_c streamtimes,spatio-temporal X_st rnd d_c accuracy,spatio-temporal X_st min d_c data,spatio-temporal X_st min d_c sensors,spatio-temporal X_st min d_c streamtimes,spatio-temporal X_st min d_c accuracy,spatio-temporal X_st max d_c data,spatio-temporal X_st max d_c sensors,spatio-temporal X_st max d_c streamtimes,spatio-temporal X_st max d_c accuracy,spatio-temporal X_st avg d_c data,spatio-temporal X_st avg d_c sensors,spatio-temporal X_st avg d_c streamtimes,spatio-temporal X_st avg d_c accuracy,"spatio-temporal X_(t,s) rnd d_c data","spatio-temporal X_(t,s) rnd d_c sensors","spatio-temporal X_(t,s) rnd d_c streamtimes","spatio-temporal X_(t,s) rnd d_c accuracy","spatio-temporal X_(t,s) min d_c data","spatio-temporal X_(t,s) min d_c sensors","spatio-temporal X_(t,s) min d_c streamtimes","spatio-temporal X_(t,s) min d_c accuracy","spatio-temporal X_(t,s) max d_c data","spatio-temporal X_(t,s) max d_c sensors","spatio-temporal X_(t,s) max d_c streamtimes","spatio-temporal X_(t,s) max d_c accuracy","spatio-temporal X_(t,s) avg d_c data","spatio-temporal X_(t,s) avg d_c sensors","spatio-temporal X_(t,s) avg d_c streamtimes","spatio-temporal X_(t,s) avg d_c accuracy","spatio-temporal Y_hat_(t,s) rnd d_c data","spatio-temporal Y_hat_(t,s) rnd d_c sensors","spatio-temporal Y_hat_(t,s) rnd d_c streamtimes","spatio-temporal Y_hat_(t,s) rnd d_c accuracy","spatio-temporal Y_hat_(t,s) min d_c data","spatio-temporal Y_hat_(t,s) min d_c sensors","spatio-temporal Y_hat_(t,s) min d_c streamtimes","spatio-temporal Y_hat_(t,s) min d_c accuracy","spatio-temporal Y_hat_(t,s) max d_c data","spatio-temporal Y_hat_(t,s) max d_c sensors","spatio-temporal Y_hat_(t,s) max d_c streamtimes","spatio-temporal Y_hat_(t,s) max d_c accuracy","spatio-temporal Y_hat_(t,s) avg d_c data","spatio-temporal Y_hat_(t,s) avg d_c sensors","spatio-temporal Y_hat_(t,s) avg d_c streamtimes","spatio-temporal Y_hat_(t,s) avg d_c accuracy","spatio-temporal Y_(t,s) rnd d_c data","spatio-temporal Y_(t,s) rnd d_c sensors","spatio-temporal Y_(t,s) rnd d_c streamtimes","spatio-temporal Y_(t,s) rnd d_c accuracy","spatio-temporal Y_(t,s) min d_c data","spatio-temporal Y_(t,s) min d_c sensors","spatio-temporal Y_(t,s) min d_c streamtimes","spatio-temporal Y_(t,s) min d_c accuracy","spatio-temporal Y_(t,s) max d_c data","spatio-temporal Y_(t,s) max d_c sensors","spatio-temporal Y_(t,s) max d_c streamtimes","spatio-temporal Y_(t,s) max d_c accuracy","spatio-temporal Y_(t,s) avg d_c data","spatio-temporal Y_(t,s) avg d_c sensors","spatio-temporal Y_(t,s) avg d_c streamtimes","spatio-temporal Y_(t,s) avg d_c accuracy"
0,10,100,97,41,10,100,100,50,10,100,100,51,10,88,98,44,10,91,98,46,10,100,90,35,10,97,86,42,10,89,71,41,10,98,76,43,10,97,69,42,10,97,68,37,10,95,58,33,10,97,61,35,10,83,97,51,10,68,97,52,10,49,97,35,10,57,98,36
1,19,100,100,38,18,100,100,55,18,100,100,54,16,95,100,56,16,95,100,57,19,100,100,47,19,100,98,54,19,98,89,52,19,100,94,52,19,100,99,63,19,100,98,59,19,97,94,52,19,100,96,60,16,86,99,53,14,78,99,59,14,54,98,32,14,65,99,41
2,28,100,100,41,24,100,100,59,23,100,100,55,19,97,100,55,19,97,100,60,28,100,100,58,28,100,100,56,26,98,95,55,26,100,99,54,26,100,100,71,26,100,100,70,25,97,99,65,25,100,100,70,20,94,100,59,17,80,100,60,16,55,99,30,16,65,100,45
3,37,100,100,44,29,100,100,61,28,100,100,59,22,98,100,63,22,100,100,59,35,100,100,61,35,100,100,58,31,100,98,60,33,100,100,55,30,100,100,75,31,100,100,75,29,98,100,71,30,100,100,75,23,98,100,61,19,82,100,64,17,57,99,30,18,68,100,49
4,45,100,100,49,33,100,100,64,32,100,100,61,24,98,100,62,25,100,100,60,42,100,100,64,41,100,100,62,36,100,98,65,39,100,100,60,34,100,100,78,34,100,100,78,32,98,100,77,32,100,100,76,26,98,100,67,20,82,100,64,19,58,100,41,20,69,100,46
5,53,100,100,48,37,100,100,65,35,100,100,62,27,98,100,59,27,100,100,62,48,100,100,67,47,100,100,65,40,100,99,66,43,100,100,63,36,100,100,79,37,100,100,79,34,98,100,79,35,100,100,79,29,100,100,68,22,82,100,69,20,58,100,39,21,69,100,49
6,60,100,100,48,41,100,100,69,39,100,100,63,29,98,100,61,29,100,100,63,53,100,100,69,52,100,100,64,43,100,99,68,47,100,100,66,39,100,100,81,40,100,100,81,36,98,100,80,36,100,100,81,32,100,100,69,23,82,100,69,20,65,100,43,22,71,100,46
7,67,100,100,50,44,100,100,67,42,100,100,65,31,98,100,66,30,100,100,63,57,100,100,69,57,100,100,67,46,100,99,70,50,100,100,69,40,100,100,82,41,100,100,81,37,98,100,80,38,100,100,79,34,100,100,70,24,83,100,70,21,66,100,40,23,71,100,50
8,74,100,100,52,48,100,100,69,45,100,100,65,32,98,100,64,32,100,100,61,61,100,100,74,61,100,100,69,48,100,99,70,54,100,100,72,42,100,100,82,43,100,100,82,38,98,100,82,39,100,100,80,36,100,100,72,25,83,100,69,22,68,100,50,24,71,100,43
9,80,100,100,49,51,100,100,70,48,100,100,66,34,98,100,65,33,100,100,63,65,100,100,73,64,100,100,70,51,100,99,72,56,100,100,74,44,100,100,83,45,100,100,83,39,98,100,82,40,100,100,81,38,100,100,72,26,83,100,71,22,68,100,43,25,71,100,46
