,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,random spatio-temporal X_st rnd d_c train,random spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,random spatio-temporal X_st min d_c train,random spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,random spatio-temporal X_st max d_c train,random spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,random spatio-temporal X_st avg d_c train,random spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","random spatio-temporal X_(t,s) rnd d_c train","random spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","random spatio-temporal X_(t,s) min d_c train","random spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","random spatio-temporal X_(t,s) max d_c train","random spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","random spatio-temporal X_(t,s) avg d_c train","random spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","random spatio-temporal Y_hat_(t,s) rnd d_c train","random spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","random spatio-temporal Y_hat_(t,s) min d_c train","random spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","random spatio-temporal Y_hat_(t,s) max d_c train","random spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","random spatio-temporal Y_hat_(t,s) avg d_c train","random spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","random spatio-temporal Y_(t,s) rnd d_c train","random spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","random spatio-temporal Y_(t,s) min d_c train","random spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","random spatio-temporal Y_(t,s) max d_c train","random spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val","random spatio-temporal Y_(t,s) avg d_c train","random spatio-temporal Y_(t,s) avg d_c val"
test_loss,0.43699646,0.43699646,0.435613,0.435613,0.43691552,0.43691552,0.44128263,0.44128263,0.63718957,0.63718957,0.5130877,0.5130877,0.81468195,0.81468195,0.50991154,0.50991154,0.29048747,0.29048747,0.34747013,0.34747013,0.29211894,0.29211894,0.35512894,0.35512894,0.39373583,0.39373583,0.42493606,0.42493606,0.40262857,0.40262857,0.41084808,0.41084808,0.20658594,0.20658594,0.2189587,0.2189587,0.19204956,0.19204956,0.23148645,0.23148645,0.22782677,0.22782677,0.2278839,0.2278839,0.21955596,0.21955596,0.21990457,0.21990457,0.28053948,0.28053948,0.25716102,0.25716102,0.37271547,0.37271547,0.436588,0.436588,0.95316786,0.95316786,0.7847913,0.7847913,0.75803477,0.75803477,0.6579201,0.6579201
PL_loss,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856,0.50187856
RF_loss,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411,1.263411
0,5.2756405,0.96847045,5.9864907,1.068062,6.563232,0.9653036,4.9154544,0.96250015,5.9580603,1.0517831,5.697539,1.1515934,7.0800977,0.9856807,6.9708543,1.008536,5.861585,1.1911933,2.9719262,1.2095815,5.6212173,1.0236514,4.2353005,0.99753857,6.159216,0.97279245,4.148192,1.1922425,4.7277665,1.0825446,4.2449484,1.1753474,7.921401,1.0761197,4.6192937,1.406087,6.879417,1.4749074,5.133227,1.1227783,8.806449,0.98791164,8.623142,1.057456,6.7652636,1.1169744,5.1547084,1.6173204,7.7849455,1.4346303,5.8432393,1.1245476,6.206621,1.3081809,7.7083406,1.3241172,6.3244925,1.615672,6.995764,1.4177502,7.304626,1.6684251,6.6197567,1.3719355
1,2.1075108,0.87945825,1.8037946,0.9388894,2.2907262,0.8441996,1.8462797,0.84140694,2.225686,1.2573339,2.5274334,0.99844736,2.3320613,0.961047,2.262862,0.96619964,1.6395954,0.92206305,1.8447577,0.95116425,1.2775017,0.94895023,1.573387,0.95357746,1.9549818,0.93138796,1.8580849,0.93821704,1.822321,0.8977068,1.7068433,0.8949705,1.568832,0.9315029,3.523813,0.88204545,1.434021,1.0581508,2.7755623,0.9016087,1.7173046,0.97138065,3.1100652,1.0971411,1.5891196,0.95249426,3.1222668,0.83127034,4.216756,1.0653727,3.1367612,1.1813523,3.9827063,0.89980006,3.7906482,0.8914513,4.2219563,1.6519514,4.04308,1.5100228,4.379335,1.3037972,3.6960185,1.5801133
2,1.9481368,0.79690367,1.48684,0.86588734,2.076026,0.7965762,1.5877603,0.7618287,2.015546,0.9693244,2.347176,0.9266082,1.9982288,0.93354094,1.9467766,0.9064646,1.3593167,0.8869036,1.6283464,0.8427505,1.0405483,0.95415586,1.4461982,0.89329046,1.6383321,0.8548233,1.5817415,0.90132004,1.5897135,0.83330995,1.4780269,0.8950398,1.3491973,0.9043258,2.7079394,0.82536346,1.0627736,0.95947146,2.3760571,0.74009806,1.4535735,0.9701815,2.835222,0.78580636,1.4257193,0.93143255,2.7347548,0.75438446,3.5937624,1.0099663,2.6282496,0.8146574,3.3396494,0.89594585,3.2163272,0.898867,3.6124213,1.0978607,3.3965926,0.91722685,3.7944748,1.3722942,3.1269822,1.1716682
3,1.7570542,0.7653043,1.4146357,0.84573597,1.9756647,0.8696036,1.5086086,0.76281565,1.8958204,0.99902534,2.1139832,1.2033012,1.9055384,0.9485669,1.804839,0.8264288,1.2436548,0.8241366,1.4161636,0.8707111,0.95350623,0.8494328,1.3019061,0.83630574,1.4940116,0.82507193,1.4371573,0.7930111,1.486689,0.8243248,1.3211101,0.7562601,1.2027484,0.8547315,2.3318653,0.820962,0.97515833,0.9770855,2.029309,0.64809686,1.3697537,0.889316,2.5116436,0.6418585,1.2898347,0.86471105,2.3297997,0.80841297,3.089793,0.68551934,2.2561984,0.75676835,2.878747,1.2071495,2.728063,0.60634285,3.017518,1.2766701,3.0115302,1.011155,3.228638,1.0124749,2.6956773,1.0087658
4,1.6496607,0.72916067,1.3331431,0.8387127,1.8677675,0.7264848,1.3794771,0.78891075,1.722901,0.8879089,1.8007928,0.94820976,1.7575915,0.9001644,1.5454061,0.9178842,1.1397787,0.8053,1.3754205,0.84715307,0.878855,0.8807151,1.2094829,0.7107034,1.4298768,0.9004563,1.2816976,0.73095,1.3769337,0.7925471,1.2328051,0.90171653,1.1907067,0.8750955,2.0497766,0.6649123,0.91584355,0.8890268,1.8570226,0.6054564,1.2497398,0.8527482,2.2191033,0.60766923,1.2077216,0.90860385,2.058686,0.5826327,2.6892414,0.7244477,2.0519438,0.585807,2.5749762,0.68698436,2.3870137,0.6177395,2.6791644,1.2206677,2.6348252,1.0832049,2.874361,1.0694174,2.352863,0.85712874
5,1.537984,0.68101954,1.2836056,0.8317156,1.7295717,0.70764667,1.256455,0.64665496,1.5488013,0.93509334,1.656201,0.8224503,1.5936891,0.83476484,1.4309176,1.0187975,1.1388983,0.77370226,1.240599,0.70186335,0.864319,0.8245635,1.111614,0.67182285,1.3865962,0.83127624,1.1773081,0.6781839,1.2487751,0.75746745,1.1098499,0.6641413,1.1423938,0.83248526,1.7835816,0.60194796,0.8765017,0.8819284,1.6871871,0.58394325,1.2266304,0.8641833,2.014736,0.5792267,1.184612,0.83504057,1.867684,0.62620336,2.4362845,0.7461795,1.8646718,0.5281976,2.2786744,0.6565905,2.1165307,0.74374896,2.4551144,1.1078234,2.328985,0.94737184,2.481412,0.933085,2.1155002,0.79472244
6,1.3933377,0.66337156,1.1657721,0.75907207,1.5499625,0.700784,1.1876243,0.6758791,1.4793752,0.8286533,1.4879146,0.7977904,1.4645922,0.8213369,1.3367784,0.73754543,1.0627966,0.7481947,1.1659058,0.6432779,0.8250805,0.83371294,1.0610172,0.638146,1.3301302,0.78425926,1.1236935,0.7013675,1.1800517,0.73792714,1.0181446,0.67207545,1.1575935,0.8146493,1.6492432,0.5431805,0.82497954,0.9401276,1.5894208,0.5793919,1.1580157,0.8035305,1.7965449,0.54390687,1.1635044,0.83963424,1.7327341,0.52783436,2.2389324,0.6588639,1.7029788,0.5363974,2.1931834,0.6123796,1.9685426,0.601034,2.3111336,1.0740483,2.144885,0.7848898,2.3277276,1.0822766,2.023302,0.7962574
7,1.3314463,0.6517793,1.0918877,0.7040928,1.4204264,0.60167164,1.0947043,0.60824203,1.3732214,0.83572924,1.3130515,0.9166981,1.396912,0.7969973,1.1984614,0.8589476,1.0125129,0.74928534,1.074895,0.67142224,0.7810304,0.78462327,0.97478646,0.6363796,1.2939568,0.77726454,1.0265015,0.704555,1.0887189,0.70001376,0.95208764,0.64218825,1.0621036,0.78407705,1.5245249,0.5433378,0.8107661,0.8682139,1.4982408,0.5497976,1.0991591,0.79813343,1.7080535,0.48684528,1.0796232,0.8284079,1.6244227,0.51583284,2.0931873,0.58674526,1.582154,0.5391328,2.0101998,0.551656,1.8173608,0.5297302,2.1811485,0.9285648,1.9454856,0.6747901,2.1576676,0.84775114,1.8911185,0.7706099
8,1.2562926,0.6302473,1.0733092,0.6868749,1.2933553,0.6617026,1.0288635,0.5919161,1.3255024,0.7791996,1.2398677,0.8329235,1.3041077,0.7577964,1.1407337,0.7242771,0.9676982,0.73048836,1.0530362,0.6144291,0.7531828,0.79301274,0.88855803,0.60560906,1.2024094,0.7398865,0.9370904,0.74595034,1.0527611,0.7353681,0.89524454,0.61101675,1.000922,1.1976224,1.4629256,0.513222,0.7704791,0.83823484,1.4446554,0.5333942,1.0704635,0.7822373,1.6098024,0.51141346,1.0552297,0.82291776,1.5585132,0.48244894,1.9609365,0.5887354,1.5186952,0.5575003,1.874384,0.69184864,1.7498504,0.6064652,2.0818174,1.0830827,1.8632208,0.68297195,2.089601,0.9263654,1.7694813,0.8345542
9,1.1637834,0.5939103,0.97903806,0.7059772,1.2232872,0.57338166,0.9677101,0.6985191,1.2709185,0.82162213,1.1667722,0.8086262,1.214779,0.74826163,1.057834,0.80764705,0.89844465,0.68477446,0.998847,0.6137536,0.69606334,0.7844142,0.86704916,0.59759253,1.1370945,0.71856123,0.93220603,0.59567803,1.0299765,0.70680785,0.8424523,0.5837464,0.99116254,0.76768947,1.3572363,0.4943726,0.733648,0.8684578,1.3467877,0.5150914,1.0144159,0.73699236,1.5318674,0.53966475,0.9940902,0.7994471,1.4568591,0.50361556,1.8678042,0.57629263,1.4332995,0.50764704,1.8604162,0.64688355,1.6305628,0.58526677,1.9911304,0.95817727,1.7824056,0.82198954,1.9440614,1.1959808,1.6718115,0.7858969
10,1.1178298,0.5852155,0.87990403,0.65630245,1.1636328,0.5452814,0.93069106,0.64176184,1.220337,0.87195724,1.0655882,0.7964592,1.1651803,0.7750524,0.9854788,0.7213597,0.86044407,0.67853785,0.891807,0.5828993,0.66757804,0.74687463,0.8228095,0.5873177,1.0837094,0.72453874,0.866445,0.6514568,0.97151893,0.6969577,0.7768119,0.6418209,0.8907456,0.73428154,1.2894768,0.5213366,0.722062,0.8350965,1.3015105,0.50485766,0.98084164,0.7458077,1.4618331,0.47770107,0.9678166,0.7418861,1.3996099,0.46024457,1.8159263,0.5653432,1.4011952,0.5233656,1.7596136,0.5426975,1.5616177,0.52574885,1.9246618,0.8762214,1.7114882,0.6762709,1.9171515,1.0163558,1.5983065,0.75157726
