,spatio-temporal None PL train,spatio-temporal None PL val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,"spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val"
t_iter_avg,42.6,42.6,331.8,331.8,446.7,446.7,657.7,657.7,704.3,704.3,257.8,257.8,453.4,453.4,610.4,610.4,790.3,790.3,294.5,294.5,472.0,472.0,629.0,629.0,639.2,639.2,224.4,224.4,337.7,337.7,464.7,464.7,600.0,600.0
budget_usage,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052,1.0002522704339052
sensor_usage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9076923076923077,0.9076923076923077,0.9538461538461539,0.9538461538461539,0.9538461538461539,0.9538461538461539,0.9384615384615385,0.9384615384615385
streamtime_usage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_loss,1.0779091,1.0779091,0.43110209703445435,0.43110209703445435,0.4024825990200043,0.4024825990200043,0.4191546142101288,0.4191546142101288,0.38858556747436523,0.38858556747436523,0.19853202998638153,0.19853202998638153,0.12575528025627136,0.12575528025627136,0.13290995359420776,0.13290995359420776,0.12194480001926422,0.12194480001926422,0.12545928359031677,0.12545928359031677,0.059355225414037704,0.059355225414037704,0.054663851857185364,0.054663851857185364,0.052508752793073654,0.052508752793073654,0.20457421243190765,0.20457421243190765,0.07920096814632416,0.07920096814632416,0.07612177729606628,0.07612177729606628,0.07741409540176392,0.07741409540176392
RF_loss,2.0357606,2.0357606,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225,2.0357606410980225
cand_subsample_rate,,,0.25,0.25,0.5,0.5,0.75,0.75,1.0,1.0,0.25,0.25,0.5,0.5,0.75,0.75,1.0,1.0,0.25,0.25,0.5,0.5,0.75,0.75,1.0,1.0,0.25,0.25,0.5,0.5,0.75,0.75,1.0,1.0
points_percluster_rate,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,2.1992504596710205,1.9906301498413086,6.5088958740234375,1.3644225597381592,7.9787702560424805,1.2309988737106323,9.455248832702637,1.187638521194458,10.1835355758667,1.1233888864517212,4.225337982177734,1.2898839712142944,5.433300495147705,1.2455322742462158,6.049270153045654,1.7222782373428345,6.249319553375244,1.290252685546875,3.108539581298828,1.4666177034378052,4.412802219390869,1.8346806764602661,4.1804327964782715,1.4725050926208496,5.02219820022583,1.6211975812911987,8.022960662841797,1.2930545806884766,11.806315422058105,1.1754947900772095,12.369173049926758,1.5023167133331299,13.375975608825684,1.5215349197387695
1,1.8680493831634521,1.46176278591156,4.6021199226379395,1.224376916885376,5.730366230010986,1.2258366346359253,6.605275630950928,1.1073024272918701,7.2700676918029785,1.0969243049621582,3.157052755355835,1.2354501485824585,3.8758537769317627,1.212077021598816,3.9554061889648438,1.2562470436096191,4.464534282684326,1.2589163780212402,1.931755781173706,1.4828112125396729,3.3271737098693848,1.65669846534729,2.460026502609253,1.3027435541152954,2.803976058959961,1.5683627128601074,5.5139546394348145,1.3272452354431152,8.873333930969238,1.3005812168121338,8.230502128601074,1.3770066499710083,8.421636581420898,1.482629656791687
