,temporal None PL data,temporal None PL sensors,temporal None PL streamtimes,temporal None PL accuracy,temporal X_st rnd d_c data,temporal X_st rnd d_c sensors,temporal X_st rnd d_c streamtimes,temporal X_st rnd d_c accuracy,temporal X_st min d_c data,temporal X_st min d_c sensors,temporal X_st min d_c streamtimes,temporal X_st min d_c accuracy,temporal X_st max d_c data,temporal X_st max d_c sensors,temporal X_st max d_c streamtimes,temporal X_st max d_c accuracy,temporal X_st avg d_c data,temporal X_st avg d_c sensors,temporal X_st avg d_c streamtimes,temporal X_st avg d_c accuracy,"temporal X_(t,s) rnd d_c data","temporal X_(t,s) rnd d_c sensors","temporal X_(t,s) rnd d_c streamtimes","temporal X_(t,s) rnd d_c accuracy","temporal X_(t,s) min d_c data","temporal X_(t,s) min d_c sensors","temporal X_(t,s) min d_c streamtimes","temporal X_(t,s) min d_c accuracy","temporal X_(t,s) max d_c data","temporal X_(t,s) max d_c sensors","temporal X_(t,s) max d_c streamtimes","temporal X_(t,s) max d_c accuracy","temporal X_(t,s) avg d_c data","temporal X_(t,s) avg d_c sensors","temporal X_(t,s) avg d_c streamtimes","temporal X_(t,s) avg d_c accuracy","temporal Y_hat_(t,s) rnd d_c data","temporal Y_hat_(t,s) rnd d_c sensors","temporal Y_hat_(t,s) rnd d_c streamtimes","temporal Y_hat_(t,s) rnd d_c accuracy","temporal Y_hat_(t,s) min d_c data","temporal Y_hat_(t,s) min d_c sensors","temporal Y_hat_(t,s) min d_c streamtimes","temporal Y_hat_(t,s) min d_c accuracy","temporal Y_hat_(t,s) max d_c data","temporal Y_hat_(t,s) max d_c sensors","temporal Y_hat_(t,s) max d_c streamtimes","temporal Y_hat_(t,s) max d_c accuracy","temporal Y_hat_(t,s) avg d_c data","temporal Y_hat_(t,s) avg d_c sensors","temporal Y_hat_(t,s) avg d_c streamtimes","temporal Y_hat_(t,s) avg d_c accuracy","temporal Y_(t,s) rnd d_c data","temporal Y_(t,s) rnd d_c sensors","temporal Y_(t,s) rnd d_c streamtimes","temporal Y_(t,s) rnd d_c accuracy","temporal Y_(t,s) min d_c data","temporal Y_(t,s) min d_c sensors","temporal Y_(t,s) min d_c streamtimes","temporal Y_(t,s) min d_c accuracy","temporal Y_(t,s) max d_c data","temporal Y_(t,s) max d_c sensors","temporal Y_(t,s) max d_c streamtimes","temporal Y_(t,s) max d_c accuracy","temporal Y_(t,s) avg d_c data","temporal Y_(t,s) avg d_c sensors","temporal Y_(t,s) avg d_c streamtimes","temporal Y_(t,s) avg d_c accuracy"
0,10,0,75,14,10,0,93,26,10,0,96,25,10,0,88,39,10,0,89,39,10,0,71,31,10,0,67,38,10,0,52,47,10,0,58,45,10,0,62,42,10,0,62,43,10,0,54,49,10,0,58,48,10,0,72,53,10,0,77,56,10,0,77,34,10,0,78,32
1,19,0,92,26,19,0,100,43,18,0,100,30,14,0,100,46,14,0,100,40,20,0,91,39,19,0,86,49,19,0,69,50,19,0,78,46,19,0,92,58,19,0,91,59,18,0,88,61,18,0,90,59,17,0,91,59,15,0,89,61,14,0,89,35,15,0,91,45
2,29,0,98,32,27,0,100,47,24,0,100,37,17,0,100,43,16,0,100,34,28,0,98,49,28,0,94,51,25,0,77,50,26,0,88,54,25,0,98,64,26,0,98,63,24,0,97,63,24,0,97,65,22,0,97,61,19,0,94,56,17,0,93,40,18,0,95,49
3,37,0,100,42,34,0,100,49,28,0,100,39,18,0,100,48,18,0,100,42,37,0,99,54,35,0,96,55,31,0,82,54,33,0,93,55,30,0,99,68,31,0,100,65,28,0,99,67,29,0,99,67,27,0,98,63,21,0,96,63,19,0,96,41,21,0,97,48
4,45,0,100,44,41,0,100,51,32,0,100,39,20,0,100,49,19,0,100,40,44,0,100,53,42,0,98,54,36,0,86,57,38,0,97,56,34,0,100,69,36,0,100,68,31,0,100,68,32,0,100,66,30,0,100,65,23,0,97,64,21,0,97,46,23,0,98,54
5,53,0,100,49,47,0,100,53,35,0,100,41,21,0,100,48,21,0,100,48,51,0,100,56,48,0,98,57,40,0,88,55,44,0,98,56,37,0,100,71,39,0,100,70,33,0,100,69,35,0,100,71,33,0,100,67,25,0,98,63,22,0,97,45,24,0,98,53
6,60,0,100,49,53,0,100,54,38,0,100,40,22,0,100,47,22,0,100,47,58,0,100,58,54,0,98,59,44,0,90,58,48,0,98,55,40,0,100,72,42,0,100,72,35,0,100,70,37,0,100,72,36,0,100,66,27,0,98,63,23,0,98,46,25,0,99,52
7,67,0,100,49,59,0,100,55,40,0,100,42,23,0,100,49,23,0,100,47,64,0,100,59,59,0,99,61,47,0,92,55,52,0,99,56,42,0,100,74,44,0,100,72,36,0,100,71,39,0,100,72,38,0,100,67,28,0,98,67,24,0,98,48,26,0,99,56
8,74,0,100,49,65,0,100,55,42,0,100,44,24,0,100,49,24,0,100,45,70,0,100,59,63,0,100,63,50,0,93,56,57,0,99,60,44,0,100,75,47,0,100,72,38,0,100,73,40,0,100,73,41,0,100,70,29,0,98,65,25,0,99,47,27,0,99,58
9,80,0,100,46,70,0,100,57,44,0,100,47,24,0,100,47,24,0,100,46,75,0,100,62,68,0,100,62,52,0,93,57,61,0,99,57,46,0,100,75,49,0,100,73,39,0,100,73,41,0,100,74,43,0,100,71,30,0,98,69,26,0,99,51,28,0,99,60
