,temporal None PL train,temporal None PL val,temporal X_st rnd d_c train,temporal X_st rnd d_c val,temporal X_st min d_c train,temporal X_st min d_c val,temporal X_st max d_c train,temporal X_st max d_c val,temporal X_st avg d_c train,temporal X_st avg d_c val,"temporal X_(t,s) rnd d_c train","temporal X_(t,s) rnd d_c val","temporal X_(t,s) min d_c train","temporal X_(t,s) min d_c val","temporal X_(t,s) max d_c train","temporal X_(t,s) max d_c val","temporal X_(t,s) avg d_c train","temporal X_(t,s) avg d_c val","temporal Y_hat_(t,s) rnd d_c train","temporal Y_hat_(t,s) rnd d_c val","temporal Y_hat_(t,s) min d_c train","temporal Y_hat_(t,s) min d_c val","temporal Y_hat_(t,s) max d_c train","temporal Y_hat_(t,s) max d_c val","temporal Y_hat_(t,s) avg d_c train","temporal Y_hat_(t,s) avg d_c val","temporal Y_(t,s) rnd d_c train","temporal Y_(t,s) rnd d_c val","temporal Y_(t,s) min d_c train","temporal Y_(t,s) min d_c val","temporal Y_(t,s) max d_c train","temporal Y_(t,s) max d_c val","temporal Y_(t,s) avg d_c train","temporal Y_(t,s) avg d_c val"
t_iter_avg,25.1,25.1,234.1,234.1,237.6,237.6,229.5,229.5,227.3,227.3,310.2,310.2,347.9,347.9,324.4,324.4,337.5,337.5,394.8,394.8,389.2,389.2,411.8,411.8,433.9,433.9,419.2,419.2,413.2,413.2,413.6,413.6,407.1,407.1
budget_usage,0.8030671120558761,0.8030671120558761,0.6996659580929244,0.6996659580929244,0.43653203765563314,0.43653203765563314,0.24354691770422107,0.24354691770422107,0.24309140601275434,0.24309140601275434,0.7499240813847555,0.7499240813847555,0.6764348618281203,0.6764348618281203,0.5214090494989372,0.5214090494989372,0.6056787124202855,0.6056787124202855,0.4552080170057698,0.4552080170057698,0.4866383237169754,0.4866383237169754,0.38824779836015794,0.38824779836015794,0.41178256908593985,0.41178256908593985,0.42514424536896445,0.42514424536896445,0.29775280898876405,0.29775280898876405,0.25630124506529,0.25630124506529,0.28150622532645003,0.28150622532645003
sensor_usage,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
streamtime_usage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997946611909651,0.997946611909651,0.9342915811088296,0.9342915811088296,0.9897330595482546,0.9897330595482546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.997946611909651,0.997946611909651,0.9815195071868583,0.9815195071868583,0.9897330595482546,0.9897330595482546,0.9897330595482546,0.9897330595482546
test_loss,0.7190018,0.7190018,0.5361045598983765,0.5361045598983765,0.7266316413879395,0.7266316413879395,0.6544342041015625,0.6544342041015625,0.6780102252960205,0.6780102252960205,0.3865567445755005,0.3865567445755005,0.3897770941257477,0.3897770941257477,0.507972002029419,0.507972002029419,0.4644210934638977,0.4644210934638977,0.18351086974143982,0.18351086974143982,0.19514301419258118,0.19514301419258118,0.22199326753616333,0.22199326753616333,0.19844502210617065,0.19844502210617065,0.29475945234298706,0.29475945234298706,0.3427446782588959,0.3427446782588959,0.6015492081642151,0.6015492081642151,0.45892277359962463,0.45892277359962463
RF_loss,1.2049545,1.2049545,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358,1.2049545049667358
cand_subsample_rate,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
points_percluster_rate,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,4.9638543128967285,1.007503628730774,5.801965236663818,1.0906312465667725,8.126266479492188,1.0458325147628784,5.045099258422852,1.0115017890930176,4.528178691864014,0.995109498500824,2.6485860347747803,0.9775093793869019,2.538546562194824,1.1130539178848267,3.566765069961548,0.9802874326705933,3.2808945178985596,1.0885646343231201,3.6985995769500732,1.0246206521987915,3.8050551414489746,1.1155184507369995,6.6417927742004395,0.976994514465332,4.793891429901123,1.004347562789917,7.214511871337891,0.9797958731651306,7.159038066864014,1.071816086769104,9.229028701782227,1.1983213424682617,13.592096328735352,1.1298542022705078
1,0.744822084903717,1.0045967102050781,1.9237016439437866,0.9711616039276123,1.4367084503173828,0.974865734577179,3.584423542022705,1.0098645687103271,3.3913049697875977,0.9497290849685669,2.406170129776001,1.0934970378875732,2.3382322788238525,0.986127495765686,2.7127206325531006,1.0410388708114624,2.5224032402038574,0.9428544640541077,2.690920114517212,0.9507667422294617,2.746666431427002,0.9634102582931519,3.270890712738037,1.1074708700180054,3.2449183464050293,0.9544969797134399,5.499017238616943,0.9694420695304871,5.425615310668945,0.9921459555625916,5.820719242095947,1.1047446727752686,5.894423484802246,1.083679437637329
