,spatio-temporal None PL train,spatio-temporal None PL val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,"spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val"
t_iter_avg,53.1,53.1,405.1,405.1,646.5,646.5,896.1,896.1,995.8,995.8,493.6,493.6,759.8,759.8,867.8,867.8,1354.1,1354.1,792.5,792.5,1075.2,1075.2,1347.2,1347.2,1579.6,1579.6,847.0,847.0,1179.9,1179.9,1488.8,1488.8,1872.1,1872.1
budget_usage,0.7995710784313725,0.7995710784313725,0.2928308823529412,0.2928308823529412,0.283578431372549,0.283578431372549,0.33125,0.33125,0.3298406862745098,0.3298406862745098,0.5897671568627451,0.5897671568627451,0.5675245098039216,0.5675245098039216,0.622671568627451,0.622671568627451,0.6258578431372549,0.6258578431372549,0.3792892156862745,0.3792892156862745,0.3883578431372549,0.3883578431372549,0.40006127450980394,0.40006127450980394,0.3801470588235294,0.3801470588235294,0.21004901960784314,0.21004901960784314,0.2164828431372549,0.2164828431372549,0.2210171568627451,0.2210171568627451,0.22089460784313725,0.22089460784313725
sensor_usage,1.0,1.0,0.918918918918919,0.918918918918919,0.7027027027027027,0.7027027027027027,0.7882882882882883,0.7882882882882883,0.6711711711711712,0.6711711711711712,0.9954954954954955,0.9954954954954955,0.9954954954954955,0.9954954954954955,1.0,1.0,1.0,1.0,0.9774774774774775,0.9774774774774775,0.9954954954954955,0.9954954954954955,0.990990990990991,0.990990990990991,0.9819819819819819,0.9819819819819819,0.4774774774774775,0.4774774774774775,0.49099099099099097,0.49099099099099097,0.509009009009009,0.509009009009009,0.4954954954954955,0.4954954954954955
streamtime_usage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_loss,0.46236625,0.46236625,0.5011275410652161,0.5011275410652161,0.5564277768135071,0.5564277768135071,0.5148534774780273,0.5148534774780273,0.5031101107597351,0.5031101107597351,0.2471761703491211,0.2471761703491211,0.24122893810272217,0.24122893810272217,0.2760131061077118,0.2760131061077118,0.23462647199630737,0.23462647199630737,0.15452681481838226,0.15452681481838226,0.17471714317798615,0.17471714317798615,0.1803417056798935,0.1803417056798935,0.15336208045482635,0.15336208045482635,0.9060317873954773,0.9060317873954773,0.7059474587440491,0.7059474587440491,0.7654731869697571,0.7654731869697571,0.7606672644615173,0.7606672644615173
RF_loss,0.74034625,0.74034625,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434,0.7403462529182434
cand_subsample_rate,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
points_percluster_rate,,,0.25,0.25,0.5,0.5,0.75,0.75,1.0,1.0,0.25,0.25,0.5,0.5,0.75,0.75,1.0,1.0,0.25,0.25,0.5,0.5,0.75,0.75,1.0,1.0,0.25,0.25,0.5,0.5,0.75,0.75,1.0,1.0
0,0.630434513092041,0.6526538133621216,1.4018430709838867,0.6080387234687805,1.7217575311660767,0.6213359236717224,1.589719533920288,0.6278656721115112,1.880608320236206,0.5670102834701538,2.5918161869049072,0.5335491895675659,3.01788330078125,0.5359191298484802,2.4642186164855957,0.5993986129760742,2.065000295639038,0.5489817261695862,2.9834327697753906,0.5594912767410278,2.3358638286590576,0.5846893191337585,3.1289284229278564,0.6591835021972656,2.066849708557129,0.585738480091095,6.307467937469482,0.6028585433959961,6.301945209503174,0.931584894657135,6.784862995147705,0.6593307852745056,6.328507423400879,0.7402716875076294
1,0.4605942964553833,0.5868489742279053,0.7184076309204102,0.5821530222892761,0.7005414366722107,0.6224792003631592,0.7919825911521912,0.6280038356781006,1.0493913888931274,0.5473793148994446,1.7273614406585693,0.4987652897834778,1.4202526807785034,0.48172473907470703,1.5052448511123657,0.4879853129386902,1.5109381675720215,0.49128830432891846,1.7734241485595703,0.465810090303421,1.426470160484314,0.5842990279197693,1.4206411838531494,0.5545598268508911,1.5778532028198242,0.5114321708679199,5.0579705238342285,0.8003766536712646,4.930592060089111,1.4816235303878784,5.192063331604004,0.987397313117981,5.143306255340576,0.6517062783241272
