,spatio-temporal None PL train,spatio-temporal None PL val,spatio-temporal X_st rnd d_c train,spatio-temporal X_st rnd d_c val,spatio-temporal X_st min d_c train,spatio-temporal X_st min d_c val,spatio-temporal X_st max d_c train,spatio-temporal X_st max d_c val,spatio-temporal X_st avg d_c train,spatio-temporal X_st avg d_c val,"spatio-temporal X_(t,s) rnd d_c train","spatio-temporal X_(t,s) rnd d_c val","spatio-temporal X_(t,s) min d_c train","spatio-temporal X_(t,s) min d_c val","spatio-temporal X_(t,s) max d_c train","spatio-temporal X_(t,s) max d_c val","spatio-temporal X_(t,s) avg d_c train","spatio-temporal X_(t,s) avg d_c val","spatio-temporal Y_hat_(t,s) rnd d_c train","spatio-temporal Y_hat_(t,s) rnd d_c val","spatio-temporal Y_hat_(t,s) min d_c train","spatio-temporal Y_hat_(t,s) min d_c val","spatio-temporal Y_hat_(t,s) max d_c train","spatio-temporal Y_hat_(t,s) max d_c val","spatio-temporal Y_hat_(t,s) avg d_c train","spatio-temporal Y_hat_(t,s) avg d_c val","spatio-temporal Y_(t,s) rnd d_c train","spatio-temporal Y_(t,s) rnd d_c val","spatio-temporal Y_(t,s) min d_c train","spatio-temporal Y_(t,s) min d_c val","spatio-temporal Y_(t,s) max d_c train","spatio-temporal Y_(t,s) max d_c val","spatio-temporal Y_(t,s) avg d_c train","spatio-temporal Y_(t,s) avg d_c val"
t_iter_avg,53.9,53.9,990.4,990.4,891.1,891.1,865.4,865.4,909.7,909.7,997.2,997.2,657.5,657.5,626.0,626.0,607.8,607.8,785.1,785.1,733.1,733.1,740.9,740.9,813.2,813.2,782.2,782.2,747.3,747.3,756.5,756.5,740.4,740.4
budget_usage,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246,1.0003064664419246
sensor_usage,1.0,1.0,1.0,1.0,1.0,1.0,0.9684684684684685,0.9684684684684685,0.963963963963964,0.963963963963964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9819819819819819,0.9819819819819819,0.954954954954955,0.954954954954955,0.9234234234234234,0.9234234234234234,0.9684684684684685,0.9684684684684685
streamtime_usage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test_loss,0.4320115,0.4320115,0.3803485929965973,0.3803485929965973,0.29154691100120544,0.29154691100120544,0.3306703567504883,0.3306703567504883,0.3129270374774933,0.3129270374774933,0.17941340804100037,0.17941340804100037,0.19055019319057465,0.19055019319057465,0.18718579411506653,0.18718579411506653,0.24583792686462402,0.24583792686462402,0.04890602082014084,0.04890602082014084,0.04952501505613327,0.04952501505613327,0.05227253586053848,0.05227253586053848,0.04916580766439438,0.04916580766439438,0.05998288094997406,0.05998288094997406,0.08503995835781097,0.08503995835781097,0.07435605674982071,0.07435605674982071,0.07018984854221344,0.07018984854221344
RF_loss,0.6846117,0.6846117,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741,0.6846116781234741
cand_subsample_rate,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
points_percluster_rate,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,0.8953636884689331,0.6868531107902527,1.1477596759796143,0.6727466583251953,1.6456851959228516,0.7046753764152527,1.9657433032989502,0.6364860534667969,2.183413028717041,0.6687503457069397,1.7473727464675903,0.7359357476234436,1.4999094009399414,0.6736078858375549,1.9789707660675049,0.609039306640625,1.917466402053833,0.6311407685279846,1.3837798833847046,0.7126488089561462,0.986725926399231,0.7490715980529785,1.131902813911438,0.7071983218193054,1.4302616119384766,0.7119073271751404,6.169998645782471,1.0822467803955078,5.988801002502441,5.384560585021973,5.776856899261475,3.5223309993743896,6.502694129943848,8.621892929077148
1,0.7899110317230225,0.58291095495224,0.7363434433937073,0.514903724193573,1.0986287593841553,0.9004506468772888,0.9927130341529846,0.6628244519233704,1.1868716478347778,0.541831374168396,1.4468492269515991,0.5783942341804504,1.0924197435379028,0.508510947227478,1.1347628831863403,0.6006507873535156,1.2059271335601807,0.5196534991264343,0.7764356136322021,0.543154239654541,0.6510565876960754,0.6866490840911865,0.6294034719467163,0.6090010404586792,0.7357640862464905,0.6815031170845032,4.604773998260498,0.7672927975654602,5.060943126678467,3.142624855041504,4.682164669036865,1.0693273544311523,5.6884870529174805,14.254069328308105
